workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_ceb_no_geqo,10a1.sql_round1,cm,1.029226,2.827514,2.7472236418434823
summaries_ceb_no_geqo,10a10.sql_round1,ce_cm,0.364681,0.37277,1.0221810294476543
summaries_ceb_no_geqo,10a2.sql_round1,ce,6.838934,9.919138,1.4503924149582377
summaries_ceb_no_geqo,10a3.sql_round1,cm,1.864304,1.921695,1.0307841425003648
summaries_ceb_no_geqo,10a37.sql_round1,cm,0.606168,0.709848,1.1710416914122816
summaries_ceb_no_geqo,10a4.sql_round1,baseline,0.790951,0.790951,1.0
summaries_ceb_no_geqo,10a5.sql_round1,baseline,3.903456,3.903456,1.0
summaries_ceb_no_geqo,10a6.sql_round1,ce,0.408585,0.431508,1.0561033811813945
summaries_ceb_no_geqo,10a8.sql_round1,ce,0.382,0.402078,1.0525602094240838
summaries_ceb_no_geqo,10a9.sql_round1,ce,0.570896,0.61174,1.0715436787085564
summaries_ceb_no_geqo,11a1.sql_round1,cm,1.403453,1.495951,1.0659074439970557
summaries_ceb_no_geqo,11a10.sql_round1,ce_cm,1.186126,1.19617,1.008467903072692
summaries_ceb_no_geqo,11a2.sql_round1,cm,7.064483,7.353769,1.0409493518492436
summaries_ceb_no_geqo,11a3.sql_round1,ce_cm,3.431656,4.485136,1.3069888123984454
summaries_ceb_no_geqo,11a4.sql_round1,baseline,1.134064,1.134064,1.0
summaries_ceb_no_geqo,11a5.sql_round1,cm,1.693647,1.698384,1.0027969228534634
summaries_ceb_no_geqo,11a6.sql_round1,cm,1.018755,1.126616,1.1058753085874424
summaries_ceb_no_geqo,11a7.sql_round1,ce,0.696269,0.702781,1.0093527070715484
summaries_ceb_no_geqo,11a8.sql_round1,ce_jn,0.801455,1.734209,2.163825791841089
summaries_ceb_no_geqo,11a9.sql_round1,ce,0.296422,0.310749,1.0483331196739782
summaries_ceb_no_geqo,11b1.sql_round1,ce,2.998092,3.668117,1.2234838023649708
summaries_ceb_no_geqo,11b10.sql_round1,baseline,1.733918,1.733918,1.0
summaries_ceb_no_geqo,11b15.sql_round1,ce_cm,2.609985,6.127177,2.347590886537662
summaries_ceb_no_geqo,11b19.sql_round1,all_three,16.433069,37.653886,2.2913483780783737
summaries_ceb_no_geqo,11b3.sql_round1,ce,0.243611,0.271056,1.1126591163781603
summaries_ceb_no_geqo,11b4.sql_round1,baseline,0.577724,0.577724,1.0
summaries_ceb_no_geqo,11b5.sql_round1,ce,0.242419,0.251879,1.0390233438798115
summaries_ceb_no_geqo,11b6.sql_round1,ce,3.438116,3.993655,1.161582389890277
summaries_ceb_no_geqo,11b7.sql_round1,baseline,1.445828,1.445828,1.0
summaries_ceb_no_geqo,11b8.sql_round1,ce,0.543505,0.626794,1.153244220384357
summaries_ceb_no_geqo,1a10.sql_round1,baseline,0.568546,0.568546,1.0
summaries_ceb_no_geqo,1a20.sql_round1,ce_jn,1.595926,1.638006,1.0263671373234098
summaries_ceb_no_geqo,1a21.sql_round1,baseline,0.514099,0.514099,1.0
summaries_ceb_no_geqo,1a23.sql_round1,jn,3.730786,3.817545,1.023254885163609
summaries_ceb_no_geqo,1a25.sql_round1,baseline,7.283273,7.283273,1.0
summaries_ceb_no_geqo,1a28.sql_round1,ce_jn,4.216049,4.309726,1.0222191440374626
summaries_ceb_no_geqo,1a3.sql_round1,ce_jn,26.722374,30.220831,1.1309186451772586
summaries_ceb_no_geqo,1a33.sql_round1,ce_cm,2.048775,2.123927,1.036681431587168
summaries_ceb_no_geqo,1a34.sql_round1,baseline,0.129772,0.129772,1.0
summaries_ceb_no_geqo,1a9.sql_round1,ce_jn,3.554631,3.60858,1.0151771027710048
summaries_ceb_no_geqo,2a10.sql_round1,baseline,1.146183,1.146183,1.0
summaries_ceb_no_geqo,2a11.sql_round1,cm,2.919124,3.439686,1.1783281559810408
summaries_ceb_no_geqo,2a13.sql_round1,baseline,0.362032,0.362032,1.0
summaries_ceb_no_geqo,2a15.sql_round1,cm_jn,0.580696,0.782037,1.346723586868172
summaries_ceb_no_geqo,2a18.sql_round1,baseline,0.555253,0.555253,1.0
summaries_ceb_no_geqo,2a19.sql_round1,ce,14.151607,24.678659,1.7438767908125203
summaries_ceb_no_geqo,2a2.sql_round1,ce_jn,4.315027,4.511729,1.0455853462794091
summaries_ceb_no_geqo,2a4.sql_round1,cm_jn,5.906975,8.071903,1.366503667274705
summaries_ceb_no_geqo,2a5.sql_round1,baseline,2.670737,2.670737,1.0
summaries_ceb_no_geqo,2a9.sql_round1,cm,13.405864,13.519088,1.0084458562312733
summaries_ceb_no_geqo,2b1.sql_round1,ce,0.134083,0.299994,2.237375357054958
summaries_ceb_no_geqo,2b12.sql_round1,baseline,0.089865,0.089865,1.0
summaries_ceb_no_geqo,2b13.sql_round1,baseline,3.666955,3.666955,1.0
summaries_ceb_no_geqo,2b14.sql_round1,ce_cm,0.100111,0.126411,1.2627083936830117
summaries_ceb_no_geqo,2b18.sql_round1,jn,2.908147,3.521425,1.2108827373581872
summaries_ceb_no_geqo,2b19.sql_round1,baseline,8.105429,8.105429,1.0
summaries_ceb_no_geqo,2b5.sql_round1,baseline,0.17746,0.17746,1.0
summaries_ceb_no_geqo,2b6.sql_round1,baseline,1.663701,1.663701,1.0
summaries_ceb_no_geqo,2b8.sql_round1,jn,0.802129,1.233785,1.5381378805653454
summaries_ceb_no_geqo,2b9.sql_round1,baseline,1.089261,1.089261,1.0
summaries_ceb_no_geqo,2c10.sql_round1,cm,0.116104,0.117416,1.0113002136015987
summaries_ceb_no_geqo,2c13.sql_round1,baseline,0.152173,0.152173,1.0
summaries_ceb_no_geqo,2c18.sql_round1,cm,0.122541,0.133136,1.0864608579985475
summaries_ceb_no_geqo,2c19.sql_round1,cm,0.116224,0.120279,1.0348895236784141
summaries_ceb_no_geqo,2c2.sql_round1,ce_cm,0.105518,0.11047,1.0469303815462765
summaries_ceb_no_geqo,2c26.sql_round1,baseline,0.126103,0.126103,1.0
summaries_ceb_no_geqo,2c6.sql_round1,baseline,0.150423,0.150423,1.0
summaries_ceb_no_geqo,2c7.sql_round1,ce_cm,0.110066,0.114864,1.0435920266022205
summaries_ceb_no_geqo,2c8.sql_round1,ce_cm,0.101995,0.108101,1.0598656796901809
summaries_ceb_no_geqo,2c9.sql_round1,baseline,0.114163,0.114163,1.0
summaries_ceb_no_geqo,3a1.sql_round1,ce_jn,1.43157,1.473287,1.0291407336001732
summaries_ceb_no_geqo,3a12.sql_round1,baseline,1.396739,1.396739,1.0
summaries_ceb_no_geqo,3a21.sql_round1,baseline,0.044245,0.044245,1.0
summaries_ceb_no_geqo,3a28.sql_round1,baseline,0.054807,0.054807,1.0
summaries_ceb_no_geqo,3a43.sql_round1,baseline,0.828788,0.828788,1.0
summaries_ceb_no_geqo,3a51.sql_round1,baseline,1.125579,1.125579,1.0
summaries_ceb_no_geqo,3a62.sql_round1,cm_jn,21.334395,27.182417,1.2741123898755975
summaries_ceb_no_geqo,3a65.sql_round1,ce_cm,0.0457,0.046817,1.0244420131291028
summaries_ceb_no_geqo,3a67.sql_round1,cm_jn,0.150313,0.185359,1.2331534863917293
summaries_ceb_no_geqo,3a69.sql_round1,ce_jn,5.367842,6.084421,1.1334948010764847
summaries_ceb_no_geqo,3b1.sql_round1,ce_jn,0.608578,3.547412,5.829017808727888
summaries_ceb_no_geqo,3b10.sql_round1,cm,0.810947,1.082347,1.3346704531862132
summaries_ceb_no_geqo,3b2.sql_round1,ce,0.260566,1.128254,4.330012357713593
summaries_ceb_no_geqo,3b3.sql_round1,cm,1.227071,1.229904,1.0023087498604402
summaries_ceb_no_geqo,3b4.sql_round1,ce_cm,0.688643,0.968389,1.4062279003779898
summaries_ceb_no_geqo,3b5.sql_round1,baseline,0.983293,0.983293,1.0
summaries_ceb_no_geqo,3b6.sql_round1,baseline,1.264597,1.264597,1.0
