workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_job_no_geqo,10a.sql_round1,baseline,1.153167,1.153167,1.0
summaries_job_no_geqo,10b.sql_round1,cm_jn,0.981491,0.98391,1.0024646176072933
summaries_job_no_geqo,10c.sql_round1,all_three,4.094508,5.282363,1.2901093367017478
summaries_job_no_geqo,11a.sql_round1,ce_cm,0.091776,0.120374,1.311606520223152
summaries_job_no_geqo,11b.sql_round1,baseline,0.04973,0.04973,1.0
summaries_job_no_geqo,11c.sql_round1,jn,0.201989,0.543825,2.692349583393155
summaries_job_no_geqo,11d.sql_round1,ce_cm,0.498155,0.534246,1.0724493380574318
summaries_job_no_geqo,12a.sql_round1,jn,0.238635,0.248193,1.040052800301716
summaries_job_no_geqo,12b.sql_round1,cm,0.470696,0.48178,1.0235481074833863
summaries_job_no_geqo,12c.sql_round1,all_three,0.809422,0.873089,1.078657362908347
summaries_job_no_geqo,13a.sql_round1,jn,2.60042,2.99886,1.1532214026964875
summaries_job_no_geqo,13b.sql_round1,ce_jn,1.1836,1.187654,1.0034251436296047
summaries_job_no_geqo,13c.sql_round1,baseline,1.15437,1.15437,1.0
summaries_job_no_geqo,13d.sql_round1,ce_jn,4.405031,5.99377,1.3606646582055835
summaries_job_no_geqo,14a.sql_round1,baseline,0.456197,0.456197,1.0
summaries_job_no_geqo,14b.sql_round1,baseline,0.178686,0.178686,1.0
summaries_job_no_geqo,14c.sql_round1,baseline,0.773991,0.773991,1.0
summaries_job_no_geqo,15a.sql_round1,baseline,0.350564,0.350564,1.0
summaries_job_no_geqo,15b.sql_round1,baseline,0.047288,0.047288,1.0
summaries_job_no_geqo,15c.sql_round1,baseline,0.523542,0.523542,1.0
summaries_job_no_geqo,15d.sql_round1,ce_jn,0.559683,0.663332,1.1851923320879856
summaries_job_no_geqo,16a.sql_round1,baseline,0.318495,0.318495,1.0
summaries_job_no_geqo,16b.sql_round1,all_three,27.685552,34.768717,1.2558433727454668
summaries_job_no_geqo,16c.sql_round1,cm_jn,2.512045,2.916059,1.1608307176025907
summaries_job_no_geqo,16d.sql_round1,all_three,2.039551,2.300025,1.1277114423713848
summaries_job_no_geqo,17a.sql_round1,all_three,13.892077,18.306321,1.3177526297903475
summaries_job_no_geqo,17b.sql_round1,baseline,11.464573,11.464573,1.0
summaries_job_no_geqo,17c.sql_round1,baseline,11.001689,11.001689,1.0
summaries_job_no_geqo,17d.sql_round1,baseline,11.162367,11.162367,1.0
summaries_job_no_geqo,17e.sql_round1,all_three,16.416427,19.95114,1.2153156103943934
summaries_job_no_geqo,17f.sql_round1,all_three,15.737538,16.749577,1.064307326851252
