workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_stack_no_geqo,q1-001.sql_round1,ce_cm,0.020616,0.039343,1.9083721381451302
summaries_stack_no_geqo,q1-002.sql_round1,ce,0.010949,0.012944,1.1822084208603525
summaries_stack_no_geqo,q1-003.sql_round1,ce,0.011474,0.012002,1.0460170820986578
summaries_stack_no_geqo,q1-004.sql_round1,ce,0.010705,0.012107,1.1309668379262028
summaries_stack_no_geqo,q1-005.sql_round1,ce,0.010624,0.011725,1.1036332831325302
summaries_stack_no_geqo,q1-006.sql_round1,ce,0.011905,0.013711,1.1517009659806803
summaries_stack_no_geqo,q1-007.sql_round1,ce,0.010818,0.014809,1.3689221667591052
summaries_stack_no_geqo,q1-008.sql_round1,ce,0.0114,0.013949,1.2235964912280701
summaries_stack_no_geqo,q1-009.sql_round1,all_three,0.011437,0.014316,1.2517268514470579
summaries_stack_no_geqo,q1-010.sql_round1,ce,0.010953,0.015801,1.4426184606956998
summaries_stack_no_geqo,q10-001.sql_round1,ce_jn,0.952895,1.27754,1.3406933607585305
summaries_stack_no_geqo,q10-002.sql_round1,ce_jn,0.917466,1.110261,1.2101385773423756
summaries_stack_no_geqo,q10-003.sql_round1,ce_jn,0.859251,1.071581,1.2471105648989642
summaries_stack_no_geqo,q10-004.sql_round1,ce_jn,0.856881,1.078245,1.2583369219296494
summaries_stack_no_geqo,q10-005.sql_round1,ce_jn,0.860343,1.0732,1.2474094634349324
summaries_stack_no_geqo,q10-006.sql_round1,ce_jn,0.860838,1.077323,1.2514816957429853
summaries_stack_no_geqo,q10-007.sql_round1,ce_jn,0.977101,1.180524,1.2081903508439762
summaries_stack_no_geqo,q10-008.sql_round1,ce_jn,0.984385,1.279652,1.2999507306592442
summaries_stack_no_geqo,q10-009.sql_round1,all_three,0.863568,1.081681,1.2525718877957497
summaries_stack_no_geqo,q10-010.sql_round1,ce_jn,1.164622,1.385812,1.1899242844459403
summaries_stack_no_geqo,q11-001.sql_round1,ce_cm,1.685348,7.571939,4.492804453442257
summaries_stack_no_geqo,q11-002.sql_round1,ce_jn,0.051338,0.072092,1.4042619502123184
summaries_stack_no_geqo,q11-003.sql_round1,ce_jn,0.086198,0.100174,1.1621383326759323
summaries_stack_no_geqo,q11-004.sql_round1,ce_cm,1.499234,6.876752,4.586843681506689
summaries_stack_no_geqo,q11-005.sql_round1,ce_cm,0.072865,0.098186,1.3475056611541891
summaries_stack_no_geqo,q11-006.sql_round1,ce_cm,0.544028,2.361747,4.341223245862345
summaries_stack_no_geqo,q11-007.sql_round1,ce_cm,0.213884,0.549306,2.5682425987918682
summaries_stack_no_geqo,q11-008.sql_round1,ce_cm,0.166018,0.244302,1.4715392306858293
summaries_stack_no_geqo,q11-009.sql_round1,ce,0.048802,0.068369,1.400946682513012
summaries_stack_no_geqo,q11-010.sql_round1,ce,0.246286,0.871223,3.5374442721064128
summaries_stack_no_geqo,q12-001.sql_round1,cm,0.166414,0.316034,1.8990830098429217
summaries_stack_no_geqo,q12-002.sql_round1,ce_jn,0.113523,0.368664,3.2474828889299965
summaries_stack_no_geqo,q12-003.sql_round1,cm,0.143124,0.490858,3.429599508118834
summaries_stack_no_geqo,q12-004.sql_round1,ce_jn,0.808072,2.696671,3.33716673761744
summaries_stack_no_geqo,q12-005.sql_round1,ce_jn,0.045166,0.223968,4.95877429925165
summaries_stack_no_geqo,q12-006.sql_round1,ce_jn,0.802641,4.961821,6.181868357086168
summaries_stack_no_geqo,q12-007.sql_round1,jn,0.3535,0.740982,2.0961301272984443
summaries_stack_no_geqo,q12-008.sql_round1,cm,0.676793,2.006686,2.9649922502153543
summaries_stack_no_geqo,q12-009.sql_round1,cm,0.098951,0.171497,1.7331507513819973
summaries_stack_no_geqo,q12-010.sql_round1,jn,7.995092,21.554678,2.6959887390914328
summaries_stack_no_geqo,q13-001.sql_round1,ce_cm,0.41783,0.664966,1.5914750017949884
summaries_stack_no_geqo,q13-002.sql_round1,cm,0.448685,0.711064,1.5847732819238443
summaries_stack_no_geqo,q13-003.sql_round1,ce_cm,0.499123,0.709698,1.4218899950513202
summaries_stack_no_geqo,q13-004.sql_round1,ce_cm,1.24945,2.060704,1.6492888871103286
summaries_stack_no_geqo,q13-005.sql_round1,ce_cm,1.0667,3.723473,3.490646854785788
summaries_stack_no_geqo,q13-006.sql_round1,cm,0.485245,1.189208,2.45073725643747
summaries_stack_no_geqo,q13-007.sql_round1,cm,0.307161,0.378026,1.2307096278498897
summaries_stack_no_geqo,q13-008.sql_round1,ce_cm,0.294553,0.54486,1.8497859468414852
