workload,query,best_combo,best_time,baseline_time,speedup_vs_baseline
summaries_tpcds_no_geqo,set0_12.sql_round1,ce_cm,0.514855,1.151977,2.237478513367842
summaries_tpcds_no_geqo,set0_13.sql_round1,ce,2.962286,3.059306,1.032751732952186
summaries_tpcds_no_geqo,set0_15.sql_round1,cm_jn,1.208051,1.922287,1.5912300060179578
summaries_tpcds_no_geqo,set0_16.sql_round1,ce_cm,1.873307,2.205342,1.1772453740897781
summaries_tpcds_no_geqo,set0_17.sql_round1,ce_jn,3.684544,10.467955,2.8410449162772924
summaries_tpcds_no_geqo,set0_18.sql_round1,jn,1.687756,2.504532,1.4839419916149017
summaries_tpcds_no_geqo,set0_19.sql_round1,cm_jn,2.091159,4.208226,2.0123893018177954
summaries_tpcds_no_geqo,set0_2.sql_round1,all_three,25.072039,25.408142,1.0134054912725687
summaries_tpcds_no_geqo,set0_20.sql_round1,ce_cm,0.713887,0.840441,1.1772745546564092
summaries_tpcds_no_geqo,set0_21.sql_round1,baseline,6.665457,6.665457,1.0
summaries_tpcds_no_geqo,set0_24_1.sql_round1,cm_jn,0.27619,0.340797,1.2339222998660344
summaries_tpcds_no_geqo,set0_25.sql_round1,jn,4.006818,5.5789,1.3923517364651952
summaries_tpcds_no_geqo,set0_26.sql_round1,cm,17.113286,21.045687,1.2297864361058422
summaries_tpcds_no_geqo,set0_27.sql_round1,cm_jn,12.511484,14.733562,1.177603072505228
summaries_tpcds_no_geqo,set0_28.sql_round1,cm_jn,4.724238,4.811824,1.0185397094727233
summaries_tpcds_no_geqo,set0_29.sql_round1,ce_cm,4.275233,4.313483,1.0089468807898891
summaries_tpcds_no_geqo,set0_3.sql_round1,ce,0.142727,0.198547,1.391096288719023
summaries_tpcds_no_geqo,set0_32.sql_round1,ce_jn,0.751979,0.762044,1.0133846822850108
summaries_tpcds_no_geqo,set0_33.sql_round1,cm,1.846792,2.608219,1.412297107633128
summaries_tpcds_no_geqo,set0_34.sql_round1,cm,11.73777,11.748549,1.0009183175339098
summaries_tpcds_no_geqo,set0_36.sql_round1,cm,15.413668,17.022515,1.10437794559997
summaries_tpcds_no_geqo,set0_37.sql_round1,cm_jn,0.058076,0.071137,1.2248949652179904
summaries_tpcds_no_geqo,set0_38.sql_round1,cm,34.759881,35.394858,1.0182675251391107
summaries_tpcds_no_geqo,set0_40.sql_round1,ce,0.741517,0.994057,1.3405720974704558
summaries_tpcds_no_geqo,set0_42.sql_round1,cm_jn,1.335757,1.380525,1.0335150779670255
summaries_tpcds_no_geqo,set0_43.sql_round1,baseline,14.39456,14.39456,1.0
summaries_tpcds_no_geqo,set0_44.sql_round1,cm,3.06626,4.50675,1.469787297880806
summaries_tpcds_no_geqo,set0_46.sql_round1,ce_jn,13.30264,13.374114,1.005372918458291
summaries_tpcds_no_geqo,set0_47.sql_round1,cm_jn,30.200023,30.287594,1.0028996997783743
summaries_tpcds_no_geqo,set0_48.sql_round1,cm,4.148891,5.433328,1.3095856217962825
summaries_tpcds_no_geqo,set0_49.sql_round1,baseline,1.123675,1.123675,1.0
summaries_tpcds_no_geqo,set0_5.sql_round1,baseline,11.762097,11.762097,1.0
summaries_tpcds_no_geqo,set0_50.sql_round1,ce_cm,0.597626,0.613877,1.0271925920224354
summaries_tpcds_no_geqo,set0_52.sql_round1,cm_jn,1.326313,1.339125,1.0096598615862167
summaries_tpcds_no_geqo,set0_53.sql_round1,ce_jn,2.849001,3.703074,1.2997798175571016
summaries_tpcds_no_geqo,set0_54.sql_round1,ce_cm,1.708864,3.008594,1.7605812984532414
summaries_tpcds_no_geqo,set0_55.sql_round1,cm_jn,1.297723,1.308426,1.0082475227764323
summaries_tpcds_no_geqo,set0_56.sql_round1,cm_jn,1.79601,5.206627,2.8989966648292604
summaries_tpcds_no_geqo,set0_57.sql_round1,baseline,16.224921,16.224921,1.0
summaries_tpcds_no_geqo,set0_58.sql_round1,ce,2.341796,3.201303,1.3670289811751322
summaries_tpcds_no_geqo,set0_59.sql_round1,all_three,26.348992,32.602042,1.2373164787480295
summaries_tpcds_no_geqo,set0_60.sql_round1,cm_jn,4.304111,9.159213,2.128015053515116
summaries_tpcds_no_geqo,set0_61.sql_round1,ce_cm,4.476874,5.921434,1.3226715784272687
summaries_tpcds_no_geqo,set0_62.sql_round1,jn,5.508605,5.575976,1.012230138120268
summaries_tpcds_no_geqo,set0_63.sql_round1,ce_jn,2.786748,3.573953,1.282481587857962
summaries_tpcds_no_geqo,set0_64.sql_round1,baseline,26.995238,26.995238,1.0
summaries_tpcds_no_geqo,set0_65.sql_round1,cm_jn,48.043475,49.55302,1.0314203957977643
summaries_tpcds_no_geqo,set0_66.sql_round1,baseline,7.419087,7.419087,1.0
summaries_tpcds_no_geqo,set0_68.sql_round1,ce_jn,1.3358,10.650991,7.973492289264859
summaries_tpcds_no_geqo,set0_7.sql_round1,cm,32.353028,32.839058,1.0150227051390677
summaries_tpcds_no_geqo,set0_70.sql_round1,cm,36.01149,43.776508,1.2156261237732735
summaries_tpcds_no_geqo,set0_71.sql_round1,cm,3.564659,12.670987,3.55461405985818
summaries_tpcds_no_geqo,set0_72.sql_round1,ce_cm,9.108803,20.373636,2.236697401403895
summaries_tpcds_no_geqo,set0_73.sql_round1,ce,1.009332,10.421507,10.32515267523471
summaries_tpcds_no_geqo,set0_75.sql_round1,cm,41.758383,42.120934,1.008682113002316
summaries_tpcds_no_geqo,set0_76.sql_round1,jn,2.983306,3.224203,1.0807483375825344
summaries_tpcds_no_geqo,set0_77.sql_round1,all_three,4.833125,13.275674,2.7468095693779904
summaries_tpcds_no_geqo,set0_78.sql_round1,baseline,39.215329,39.215329,1.0
summaries_tpcds_no_geqo,set0_79.sql_round1,baseline,13.009689,13.009689,1.0
summaries_tpcds_no_geqo,set0_8.sql_round1,ce_jn,3.87563,11.215986,2.893977495271736
