query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.40234499999999995,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.445533,0.44247699999999995,0.40234499999999995,0.427728
10b.sql,0.247003,ce_jn,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.270323,0.247003,0.256901,0.265547
10c.sql,1.682432,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.682432,1.96285,1.824135,1.7590649999999999
11a.sql,0.054458000000000006,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.17166199999999998,0.071662,0.07336000000000001,0.054458000000000006
11b.sql,0.029878,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.119181,0.036582,0.029878,0.037259
11c.sql,0.070605,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.070605,0.18037499999999998,0.184857,0.593934
11d.sql,0.15515199999999998,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.161302,0.17979299999999998,0.166081,0.15515199999999998
12a.sql,0.16916699999999998,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.183462,0.17705900000000002,0.18029599999999998,0.16916699999999998
12b.sql,0.079903,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.09290000000000001,0.09164599999999999,0.084254,0.079903
12c.sql,0.564474,ce_jn,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.610027,0.564474,0.5722020000000001,0.604061
13a.sql,1.078241,ce_jn,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.272653,1.078241,1.1228829999999999,1.252485
13b.sql,0.516533,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.6381380000000001,0.543919,0.516533,0.5802820000000001
13c.sql,0.467678,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.59617,0.510888,0.467678,0.536193
13d.sql,1.557008,ce_jn,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.8536299999999999,1.557008,1.670306,1.976065
14a.sql,0.356483,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.197954,0.36755899999999997,0.38010900000000003,0.356483
14b.sql,0.15332199999999999,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.18626399999999999,0.154585,0.15332199999999999,0.592913
14c.sql,0.6420760000000001,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.6420760000000001,0.715454,0.656555,0.6677660000000001
15a.sql,0.278237,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.280653,0.285931,0.278237,0.279335
15b.sql,0.041478,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.052812,0.049632,0.041478,0.045563
15c.sql,0.5032409999999999,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.741451,0.520233,0.5032409999999999,0.7225710000000001
15d.sql,0.5082059999999999,ce_jn,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.74822,0.5082059999999999,0.575596,0.722803
16a.sql,0.213175,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.243871,0.22684300000000002,0.213175,0.444498
16b.sql,11.400058999999999,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,11.400058999999999,19.3659,18.697266000000003,11.865439
16c.sql,1.055407,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.064583,1.5897890000000001,1.549378,1.055407
16d.sql,0.8871760000000001,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.8871760000000001,1.2794070000000002,1.2545050000000002,0.9097540000000001
17a.sql,8.877391000000001,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,8.877391000000001,10.361891,10.207132,8.962821
17b.sql,7.9396,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,8.387811000000001,9.381929000000001,8.900165999999999,7.9396
17c.sql,7.774732,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,8.219711,9.003413,8.622026,7.774732
17d.sql,8.198283,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,8.198283,9.080903,8.830762000000002,8.467478999999999
17e.sql,7.691569,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,7.691569,11.745597,11.658589,7.81999
17f.sql,8.948123,cm_ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,9.251082,10.850595,11.393658,8.948123
18a.sql,4.437167,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,4.437167,4.440651,4.490762,4.609211
18b.sql,0.17256100000000002,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.355177,0.184528,0.17256100000000002,0.174476
18c.sql,5.631046,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,5.758169,5.862799,5.631046,5.648332
19a.sql,0.217348,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,3.3870500000000003,0.247441,0.217348,0.23377099999999998
19b.sql,0.104657,ce,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,0.465407,0.128377,0.104657,0.113554
19c.sql,1.187867,all_three,success,tee_cardinality_estimation.sev_join_skip_rows,10000,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,10000,2000,10.0,4.0,1.2,1.187867,1.201346,1.445884,1.218507
