query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.439305,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.452992,0.44586,0.439305,0.44302199999999997
10b.sql,0.254585,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.269996,0.261017,0.254585,0.257064
10c.sql,1.660988,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,1.660988,1.946823,1.805396,1.738952
11a.sql,0.056933,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.17148699999999997,0.070749,0.07266900000000001,0.056933
11b.sql,0.030806,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.119998,0.033135,0.030806,0.032881
11c.sql,0.073264,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.073264,0.176411,0.164946,0.6088190000000001
11d.sql,0.137409,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.137409,0.178287,0.15742799999999998,0.158255
12a.sql,0.160118,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.181649,0.17614,0.17666199999999999,0.160118
12b.sql,0.083068,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.093951,0.08497299999999999,0.08839000000000001,0.083068
12c.sql,0.5779190000000001,ce_jn,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.615535,0.5779190000000001,0.6364059999999999,0.61513
13a.sql,1.080367,ce_jn,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,1.26561,1.080367,1.1183830000000001,1.2980690000000001
13b.sql,0.51474,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.6188340000000001,0.550608,0.51474,0.588435
13c.sql,0.498264,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.608501,0.5287219999999999,0.498264,0.553824
13d.sql,1.549378,ce_jn,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,1.843131,1.549378,1.679974,1.9889679999999998
14a.sql,0.35776100000000005,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,1.199293,0.374902,0.381755,0.35776100000000005
14b.sql,0.148459,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.186771,0.15733699999999998,0.148459,0.558945
14c.sql,0.6298819999999999,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.634498,0.7021449999999999,0.6298819999999999,0.6501049999999999
15a.sql,0.27107400000000004,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.286397,0.285749,0.276984,0.27107400000000004
15b.sql,0.039148999999999996,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2,0.049577,0.049522000000000004,0.039148999999999996,0.0491
