query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.41064100000000003,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.441004,0.441824,0.41064100000000003,0.450908
10b.sql,0.256672,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.26600799999999997,0.27431700000000003,0.256672,0.26226600000000005
10c.sql,1.640088,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,1.640088,1.967572,1.795915,1.797808
11a.sql,0.058496,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.170185,0.068518,0.07351799999999999,0.058496
11b.sql,0.029491999999999997,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.119866,0.033169000000000004,0.029491999999999997,0.037168
11c.sql,0.07347400000000001,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.07347400000000001,0.188517,0.192245,0.6004139999999999
11d.sql,0.148219,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.16332900000000003,0.180172,0.17095400000000002,0.148219
12a.sql,0.17146300000000003,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.179571,0.180526,0.171506,0.17146300000000003
12b.sql,0.087284,cm_ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.09389600000000001,0.091792,0.091135,0.087284
12c.sql,0.5752299999999999,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.5856100000000001,0.5891740000000001,0.5752299999999999,0.604492
13a.sql,1.085175,ce_jn,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,1.211953,1.085175,1.1141750000000001,1.260602
13b.sql,0.481885,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.599066,0.548143,0.481885,0.579694
13c.sql,0.505084,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.5754340000000001,0.524837,0.505084,0.559265
13d.sql,1.54968,ce_jn,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,1.7659639999999999,1.54968,1.686099,1.990924
14a.sql,0.374297,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,1.201134,0.374969,0.374297,0.380156
14b.sql,0.15214699999999998,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.188501,0.15507900000000002,0.15214699999999998,0.56117
14c.sql,0.640922,all_three,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.640922,0.688065,0.6474650000000001,0.6470130000000001
15a.sql,0.270994,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.275832,0.28078600000000004,0.270994,0.27384400000000003
15b.sql,0.037233,ce,success,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2,0.050068,0.050107,0.037233,0.045845000000000004
