query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.4212,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.459276,0.454713,0.447995,0.4212
10b.sql,0.25049899999999997,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.259201,0.25076499999999996,0.25873799999999997,0.25049899999999997
10c.sql,1.66186,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,1.66186,1.992235,1.8167820000000001,1.759437
11a.sql,0.056569999999999995,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.176487,0.064173,0.072864,0.056569999999999995
11b.sql,0.032777,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.13099,0.033319,0.032777,0.043413
11c.sql,0.07169600000000001,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.07169600000000001,0.19156399999999998,0.172038,0.601288
11d.sql,0.127507,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.135706,0.17073,0.151537,0.127507
12a.sql,0.15783,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.15783,0.17477499999999999,0.178862,0.175589
12b.sql,0.081267,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.08252999999999999,0.09621099999999999,0.081267,0.083027
12c.sql,0.567111,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.605381,0.60587,0.567111,0.627993
13a.sql,1.074924,ce_jn,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,1.2696349999999998,1.074924,1.104647,1.230308
13b.sql,0.5253570000000001,ce_jn,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.616246,0.5253570000000001,0.534102,0.577142
13c.sql,0.498782,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.602171,0.52567,0.498782,0.5573710000000001
13d.sql,1.539752,ce_jn,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,1.870576,1.539752,1.6747239999999999,2.0172719999999997
14a.sql,0.343642,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,1.156148,0.36103999999999997,0.358024,0.343642
14b.sql,0.14947099999999997,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.180988,0.151993,0.14947099999999997,0.539653
14c.sql,0.624036,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.624036,0.721324,0.626355,0.6283239999999999
15a.sql,0.27829499999999996,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.279306,0.282341,0.27829499999999996,0.278622
15b.sql,0.037127,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.047362,0.043182,0.037127,0.043720999999999996
15c.sql,0.499325,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.737781,0.514327,0.499325,0.710833
15d.sql,0.49033499999999997,ce_jn,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.731001,0.49033499999999997,0.5805619999999999,0.744541
16a.sql,0.210914,ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.24263799999999996,0.21472700000000003,0.210914,0.41462
16b.sql,11.295142,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,11.38635,19.031225,19.499856,11.295142
16c.sql,1.049364,cm_ce,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,1.129217,1.598228,1.6012730000000002,1.049364
16d.sql,0.911138,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,0.911138,1.250805,1.247117,0.9226300000000001
17a.sql,8.812886,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,8.812886,10.576198999999999,10.715168,9.030729000000001
17b.sql,8.026058,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,8.026058,9.285146000000001,9.029676,8.098433
17c.sql,7.701033,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,7.701033,9.032655,8.887068000000001,8.189212
17d.sql,7.802813,all_three,success,tee_cardinality_estimation.sev_max_width_factor,3.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,3.0,1.2,7.802813,9.028751,8.90654,8.291181
