query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.448517,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.458727,0.448517,1.471839,1.4578910000000003
10b.sql,0.260813,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.260813,0.263515,0.280824,0.26504099999999997
10c.sql,1.66094,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.66094,1.949873,1.8071030000000001,1.75113
11a.sql,0.057308000000000005,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.182382,0.071963,0.07347799999999999,0.057308000000000005
11b.sql,0.026211,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.12520599999999998,0.03416,0.026211,0.037363
11c.sql,0.064399,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.064399,0.187162,0.19907899999999998,0.601692
11d.sql,0.141351,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.141351,0.176101,0.149474,0.158881
12a.sql,0.16478099999999998,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.16478099999999998,0.179308,0.17394700000000002,0.18824200000000002
12b.sql,0.082302,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.092927,0.08419800000000001,0.082302,0.085714
12c.sql,0.569013,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.63505,0.58813,0.569013,0.625262
13a.sql,1.073737,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.264829,1.073737,1.092143,1.3190669999999998
13b.sql,0.517026,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.627373,0.541704,0.517026,0.592169
13c.sql,0.5158,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.6109359999999999,0.528333,0.5158,0.5571889999999999
13d.sql,1.516303,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.893891,1.516303,1.67515,2.0317030000000003
14a.sql,0.363597,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.209964,0.37857999999999997,0.375927,0.363597
14b.sql,0.15251900000000002,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.188897,0.15251900000000002,0.15663400000000002,0.566257
14c.sql,0.639066,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.65045,0.69859,0.639066,0.651514
15a.sql,0.259691,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.281481,0.259691,0.291935,0.26521900000000004
15b.sql,0.039802,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.053112,0.049028,0.039802,0.044478
15c.sql,0.493434,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.731318,0.522635,0.493434,0.73975
15d.sql,0.500582,ce_jn,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.7360720000000001,0.500582,0.5718169999999999,0.720844
16a.sql,0.22594699999999998,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.259388,0.23046100000000003,0.22594699999999998,0.24679399999999999
16b.sql,11.911268000000002,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,11.911268000000002,19.527969,18.954263,11.946683000000002
16c.sql,1.096853,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.126941,1.5912799999999998,1.586931,1.096853
16d.sql,0.913393,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.913393,1.295618,1.2552979999999998,0.920967
17a.sql,9.047799999999999,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.086378,10.490401,10.690561,9.047799999999999
17b.sql,8.340428999999999,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.399536999999999,9.060140999999998,9.275936,8.340428999999999
17c.sql,7.8609659999999995,all_three,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.8609659999999995,8.563518,8.806458000000001,8.19106
17d.sql,8.295141999999998,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.389243,9.063187999999998,8.886677999999998,8.295141999999998
17e.sql,7.856265,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.857539,11.692912,11.760673,7.856265
17f.sql,9.382452999999998,cm_ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.403618,11.213636,11.331101,9.382452999999998
18a.sql,3.894228,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.013523999999999,4.022289000000001,3.894228,3.997318
18b.sql,0.182061,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.349129,0.19427500000000003,0.182061,0.184894
18c.sql,5.004407,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.194207,5.155327,5.004407,5.103265
19a.sql,0.22196300000000002,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.404952,0.250419,0.22196300000000002,0.229263
19b.sql,0.10704,ce,success,tee_cardinality_estimation.sev_cache_size_scale,0.3,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.441003,0.130418,0.10704,0.119837
