query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.443742,ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.45128500000000005,0.463524,0.443742,0.449945
10b.sql,0.257174,cm_ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.26287900000000003,0.26403600000000005,0.261209,0.257174
10c.sql,1.6534739999999999,all_three,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.6534739999999999,1.9808210000000002,1.811764,1.786284
11a.sql,0.056368,cm_ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.19442700000000002,0.071913,0.07323400000000001,0.056368
11b.sql,0.030364000000000002,ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.128029,0.034451999999999997,0.030364000000000002,0.036569
11c.sql,0.06987,all_three,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.06987,0.197705,0.186833,0.5923529999999999
11d.sql,0.128921,cm_ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.16602099999999997,0.16604000000000002,0.169749,0.128921
12a.sql,0.174168,cm_ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.174756,0.175903,0.17466800000000002,0.174168
12b.sql,0.08065800000000001,cm_ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08972900000000002,0.08987099999999999,0.082907,0.08065800000000001
12c.sql,0.574266,ce,success,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.627276,0.5877009999999999,0.574266,0.609662
