query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.429143,all_three,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.429143,0.448183,0.434699,0.44047600000000003
10b.sql,0.254628,ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.260106,0.257651,0.254628,0.25508400000000003
10c.sql,1.673895,all_three,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.673895,1.9400439999999999,1.8182289999999999,1.753047
11a.sql,0.05641,cm_ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.179723,0.06751399999999999,0.074158,0.05641
11b.sql,0.027711,ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.12154499999999999,0.033514,0.027711,0.033337
11c.sql,0.07000999999999999,all_three,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.07000999999999999,0.189322,0.17176699999999998,0.584119
11d.sql,0.136674,cm_ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.14276,0.14912599999999998,0.161817,0.136674
12a.sql,0.16266500000000003,ce_jn,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.175713,0.16266500000000003,0.179357,0.174193
12b.sql,0.078903,ce_jn,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.086759,0.078903,0.083949,0.080212
12c.sql,0.563377,ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.620155,0.575956,0.563377,0.6071359999999999
13a.sql,1.0675210000000002,ce_jn,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.232621,1.0675210000000002,1.086842,1.2745530000000003
13b.sql,0.50246,ce_jn,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.616412,0.50246,0.515419,0.5733490000000001
13c.sql,0.503665,ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.607184,0.522077,0.503665,0.547409
13d.sql,1.523399,ce_jn,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.8404730000000002,1.523399,1.664547,1.951547
14a.sql,0.352743,cm_ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.227111,0.379322,0.37960599999999994,0.352743
14b.sql,0.145981,ce,success,baseline_default_all,defaults,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17930200000000002,0.154821,0.145981,0.546348
