query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.43672999999999995,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.45462899999999995,0.437446,0.43672999999999995,0.450091
10b.sql,0.249521,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.25901199999999996,0.26054700000000003,0.249521,0.253756
10c.sql,1.670092,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,1.670092,1.9602439999999999,1.8417880000000002,1.747538
11a.sql,0.058251000000000004,cm_ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.168396,0.069518,0.072065,0.058251000000000004
11b.sql,0.031723,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.118612,0.034588999999999995,0.031723,0.036112000000000005
11c.sql,0.061957,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.061957,0.192462,0.19436799999999999,0.597735
11d.sql,0.127573,cm_ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.154167,0.169948,0.177673,0.127573
12a.sql,0.174442,cm_ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.18015799999999998,0.193354,0.178157,0.174442
12b.sql,0.08474200000000001,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.08474200000000001,0.09309100000000001,0.08607300000000001,0.093059
12c.sql,0.576584,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.6341389999999999,0.5941510000000001,0.576584,0.614563
13a.sql,1.0771990000000002,ce_jn,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,1.272313,1.0771990000000002,1.1248169999999997,1.269518
13b.sql,0.5375500000000001,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.642215,0.544739,0.5375500000000001,0.595106
13c.sql,0.503522,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.606155,0.5172869999999999,0.503522,0.568266
13d.sql,1.551728,ce_jn,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,1.817431,1.551728,1.688153,1.95734
14a.sql,0.35377099999999995,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,1.201056,0.370778,0.35377099999999995,0.354364
14b.sql,0.144691,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.17991,0.152086,0.144691,0.5401710000000001
14c.sql,0.6147770000000001,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.6147770000000001,0.714539,0.6249910000000001,0.637328
15a.sql,0.263498,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.263498,0.291455,0.281334,0.26996899999999996
15b.sql,0.041905,cm_ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.049879,0.048162,0.044548000000000004,0.041905
15c.sql,0.504684,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.748871,0.5124829999999999,0.504684,0.708368
15d.sql,0.491996,ce_jn,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.752258,0.491996,0.570191,0.6977800000000001
16a.sql,0.212987,ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.246399,0.219279,0.212987,0.41426
16b.sql,11.189053,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,11.189053,19.072219,18.848586,11.261083000000001
16c.sql,1.047393,cm_ce,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,1.1089200000000001,1.649806,1.568398,1.047393
16d.sql,0.915852,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,0.915852,1.281049,1.245632,0.9365559999999999
17a.sql,8.928778,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,8.928778,10.403271000000002,10.231088000000002,8.933174
17b.sql,8.217165999999999,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,8.217165999999999,9.185899999999998,8.706614999999998,8.486879000000002
17c.sql,8.153774,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,8.153774,8.800580999999998,8.570739,8.215474
17d.sql,8.18682,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,8.18682,8.745491,8.869475999999999,8.294056000000001
17e.sql,7.448534,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,7.448534,11.114311,11.865207,7.833589
17f.sql,9.262679,all_three,success,tee_cardinality_estimation.sev_width_exponent,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.4,9.262679,10.895957,11.223355000000002,9.273776999999999
