query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.43660699999999997,cm_ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.442477,0.456264,0.44186000000000003,0.43660699999999997
10b.sql,0.255285,cm_ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.26309899999999997,0.27046200000000004,0.25889900000000005,0.255285
10c.sql,1.660661,all_three,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,1.660661,1.95062,1.847555,1.75321
11a.sql,0.057586000000000005,cm_ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.18187199999999998,0.06839100000000001,0.071128,0.057586000000000005
11b.sql,0.029685999999999997,ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.12710100000000002,0.03578,0.029685999999999997,0.034278
11c.sql,0.07336,all_three,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.07336,0.196108,0.17489000000000002,0.595908
11d.sql,0.13858399999999998,cm_ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.14424,0.17897600000000002,0.15393500000000002,0.13858399999999998
12a.sql,0.171107,ce,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.17269600000000002,0.18538899999999997,0.171107,0.174649
12b.sql,0.081536,all_three,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.081536,0.083262,0.08506399999999999,0.082483
12c.sql,0.5648169999999999,ce_jn,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,0.635195,0.5648169999999999,0.582384,0.611111
13a.sql,1.094892,ce_jn,success,tee_cardinality_estimation.sev_small_table_threshold_pages,2500,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2500,10.0,4.0,1.2,1.265041,1.094892,1.100867,1.295854
