query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.415831,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.448152,0.44814000000000004,0.419873,0.415831
10b.sql,0.253444,ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.262048,0.266735,0.253444,0.255465
10c.sql,1.660383,all_three,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,1.660383,1.967934,1.816517,1.7618420000000001
11a.sql,0.051916,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.175916,0.072377,0.07152,0.051916
11b.sql,0.032221,ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.124448,0.035636,0.032221,0.036546999999999996
11c.sql,0.07128799999999999,all_three,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.07128799999999999,0.166411,0.181115,0.605903
11d.sql,0.14128000000000002,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.17436600000000002,0.19361799999999998,0.16420400000000002,0.14128000000000002
12a.sql,0.151099,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.175845,0.183575,0.17605,0.151099
12b.sql,0.081243,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.09155100000000001,0.090646,0.082388,0.081243
12c.sql,0.545315,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.617238,0.545315,0.5757780000000001,0.614195
13a.sql,1.088406,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,1.2794729999999999,1.088406,1.1081960000000002,1.298153
13b.sql,0.5276259999999999,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.6165950000000001,0.5276259999999999,0.536539,0.5864769999999999
13c.sql,0.5146229999999999,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.60156,0.5146229999999999,0.5158119999999999,0.551423
13d.sql,1.5294800000000002,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,1.7994890000000001,1.5294800000000002,1.7114610000000001,1.9587199999999998
14a.sql,0.353433,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,1.1624979999999998,0.37278500000000003,0.394645,0.353433
14b.sql,0.158009,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.188166,0.158009,0.159431,0.5566329999999999
14c.sql,0.645591,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.6537719999999999,0.7120650000000001,0.654508,0.645591
15a.sql,0.267168,ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.30065,0.284167,0.267168,0.27623000000000003
15b.sql,0.037239,cm_ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.051385,0.048039,0.042568999999999996,0.037239
15c.sql,0.519489,ce,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.741246,0.52645,0.519489,0.6899109999999999
15d.sql,0.504514,ce_jn,success,tee_cardinality_estimation.sev_max_pages_factor,11.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,11.0,4.0,1.2,0.757035,0.504514,0.5772780000000001,0.6853079999999999
