query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.42035100000000003,all_three,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.42035100000000003,0.44860300000000003,0.43466,0.441295
10b.sql,0.25472,cm_ce,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.264096,0.26444500000000004,0.257083,0.25472
10c.sql,1.6558220000000001,all_three,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.6558220000000001,1.959619,1.8288399999999998,1.7561099999999998
11a.sql,0.056213,cm_ce,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17091,0.072159,0.076678,0.056213
11b.sql,0.027227,ce,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.132531,0.035311,0.027227,0.03668
11c.sql,0.068607,all_three,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.068607,0.197361,0.191894,0.6075860000000001
11d.sql,0.14424900000000002,cm_ce,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17283500000000002,0.169553,0.154559,0.14424900000000002
12a.sql,0.159063,all_three,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.159063,0.180273,0.18113400000000002,0.17792900000000003
12b.sql,0.081734,ce,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.091118,0.082474,0.081734,0.08759499999999999
12c.sql,0.5608779999999999,ce_jn,success,tee_cardinality_estimation.sev_join_spill_beta,0.34,3.0,0.5,0.25,0.34,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.577827,0.5608779999999999,0.572651,0.608826
