query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.443405,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.445168,0.443405,0.44784,0.447068
10b.sql,0.25676699999999997,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.263647,0.261953,0.256868,0.25676699999999997
10c.sql,1.652974,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.652974,1.9520650000000002,1.838917,1.741125
11a.sql,0.055772,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.176242,0.072809,0.074412,0.055772
11b.sql,0.029862,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.124465,0.032376,0.029862,0.035347
11c.sql,0.075691,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.075691,0.18741999999999998,0.198595,0.594843
11d.sql,0.156102,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.162887,0.17235799999999998,0.156102,0.16381300000000001
12a.sql,0.17440799999999998,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.18434099999999998,0.184387,0.185364,0.17440799999999998
12b.sql,0.08374,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.085863,0.086051,0.09220199999999999,0.08374
12c.sql,0.5726289999999999,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.6267699999999999,0.597742,0.5726289999999999,0.611653
13a.sql,1.087799,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.267677,1.087799,1.124327,1.299815
13b.sql,0.530217,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.615692,0.544156,0.530217,0.588924
13c.sql,0.520685,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.607773,0.528075,0.520685,0.5534110000000001
13d.sql,1.5395530000000002,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.86974,1.5395530000000002,1.714663,1.9526940000000002
14a.sql,0.36631400000000003,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.2113190000000003,0.382005,0.37608400000000003,0.36631400000000003
14b.sql,0.153122,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.18710300000000002,0.153529,0.153122,0.54892
14c.sql,0.6417930000000001,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.6417930000000001,0.707723,0.6716840000000001,0.666931
15a.sql,0.272223,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.28464999999999996,0.29680500000000004,0.283815,0.272223
15b.sql,0.044117,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.051069,0.050124,0.050661,0.044117
15c.sql,0.514032,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.736587,0.5182410000000001,0.514032,0.7201500000000001
15d.sql,0.496788,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.7280789999999999,0.496788,0.5796810000000001,0.7229279999999999
16a.sql,0.23059400000000002,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.259828,0.23059400000000002,0.23738800000000002,0.436555
16b.sql,11.889336,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,11.998112,19.591895,19.732516,11.889336
16c.sql,1.09907,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.1175220000000001,1.566946,1.671421,1.09907
16d.sql,0.9205129999999999,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.9205129999999999,1.290397,1.2797349999999998,0.94629
17a.sql,8.919254,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.078909,10.336046000000001,10.765741,8.919254
17b.sql,8.248231999999998,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.248231999999998,8.802017,9.016436999999998,8.56963
17c.sql,8.132957000000001,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.132957000000001,8.504114,8.786012,8.187193
17d.sql,8.176913,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.214327,8.641599,8.982828,8.176913
17e.sql,7.718108000000001,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.718108000000001,11.166111,11.843498,7.826963
17f.sql,9.056163000000002,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.283036,10.725653999999999,11.42452,9.056163000000002
18a.sql,4.401041,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.417459,4.401041,4.504402,4.60302
18b.sql,0.179188,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.36144299999999996,0.188596,0.179188,0.185142
18c.sql,5.604582000000001,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.7509179999999995,5.85589,5.604582000000001,5.683275
19a.sql,0.22546,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.4270709999999998,0.248228,0.22640000000000002,0.22546
19b.sql,0.120951,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.43676000000000004,0.125943,0.129203,0.120951
19c.sql,1.165335,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.165335,1.210617,1.439466,1.212285
19d.sql,2.727751,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,2.727751,4.961649999999999,4.976387,2.7815589999999997
1a.sql,0.08328100000000001,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.09124099999999999,0.088146,0.087543,0.08328100000000001
1b.sql,0.073095,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.07685199999999999,0.073095,0.07706,0.077127
1c.sql,0.07813300000000001,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.080041,0.07976699999999999,0.083183,0.07813300000000001
1d.sql,0.073402,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.073402,0.078449,0.075239,0.081981
20a.sql,3.4076429999999998,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.866786,3.4076429999999998,3.408284,5.254207
20b.sql,1.451873,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.60269,2.3799889999999997,2.649639,1.451873
20c.sql,1.301925,ce_jn,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.785259,1.301925,1.492018,1.6834069999999999
