query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.415679,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.415679,0.45645600000000003,0.4371,0.457863
10b.sql,0.2524,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.265465,0.253248,0.2524,0.255973
10c.sql,1.6515639999999998,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,1.921691,1.965783,1.817704,1.6515639999999998
11a.sql,0.055196999999999996,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.17912300000000003,0.071918,0.073173,0.055196999999999996
11b.sql,0.026036999999999998,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.136695,0.034161,0.026036999999999998,0.035061
11c.sql,0.063328,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.069147,0.084228,0.07740000000000001,0.063328
11d.sql,0.06049,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.06049,0.072441,0.068233,0.06084
12a.sql,0.14719599999999997,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.167631,0.181565,0.14719599999999997,0.179075
12b.sql,0.081133,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.097016,0.08681000000000001,0.081133,0.08288499999999999
12c.sql,0.580916,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.580916,0.591085,0.581611,0.6038910000000001
13a.sql,1.0727,ce_jn,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,1.253166,1.0727,1.1112659999999999,1.2564469999999999
13b.sql,0.5273909999999999,ce_jn,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.622259,0.5273909999999999,0.531331,0.575913
13c.sql,0.510307,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.609021,0.5278729999999999,0.510307,0.567863
13d.sql,1.545997,ce_jn,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,1.83094,1.545997,3.4687460000000003,1.995188
14a.sql,0.36408799999999997,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,1.2166720000000002,0.374765,0.372871,0.36408799999999997
14b.sql,0.150975,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.679868,0.153597,0.150975,0.577948
14c.sql,0.641672,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.649635,0.6937279999999999,0.641672,0.6464289999999999
15a.sql,0.27951200000000004,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.292445,0.30838800000000005,0.281894,0.27951200000000004
15b.sql,0.043752,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.050702000000000004,0.047708,0.043752,0.044737
15c.sql,0.519033,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.7431840000000001,0.526976,0.519033,0.7290810000000001
15d.sql,0.501167,ce_jn,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.7636740000000001,0.501167,0.584496,0.50246
16a.sql,0.221608,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.257492,0.234594,0.221608,0.438263
16b.sql,11.629511,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,11.629511,19.612004,19.754,11.661951000000002
16c.sql,1.104503,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,1.104503,1.613754,1.598482,1.104609
16d.sql,0.908375,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,0.9090420000000001,1.288962,1.280431,0.908375
17a.sql,8.639864,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,8.926494,10.538163,10.555838,8.639864
17b.sql,8.035487000000002,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,8.214091000000002,9.191348,8.747347000000001,8.035487000000002
17c.sql,8.290205,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.4,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.4,12000,2000,10.0,4.0,1.2,8.330171,9.016817999999999,8.350638,8.290205
