query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.438404,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.45167,0.450412,0.45101499999999994,0.438404
10b.sql,0.256158,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.266768,0.267413,0.26018800000000003,0.256158
10c.sql,1.67518,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.67518,1.933018,1.8285220000000002,1.734693
11a.sql,0.056818999999999995,cm_ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.175159,0.069938,0.07545299999999999,0.056818999999999995
11b.sql,0.028954,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.118044,0.03518,0.028954,0.036628
11c.sql,0.065143,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.065143,0.19205599999999998,0.176226,0.6256520000000001
11d.sql,0.164518,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.16599399999999997,0.177821,0.164518,0.16632699999999997
12a.sql,0.152778,all_three,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.152778,0.17731300000000003,0.177284,0.171717
12b.sql,0.081754,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08480199999999999,0.09138,0.081754,0.08194699999999999
12c.sql,0.5675359999999999,ce,success,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.626944,0.591286,0.5675359999999999,0.606698
