query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.428047,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.456539,0.455451,0.44219499999999995,0.428047
10b.sql,0.260031,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.26517,0.26793500000000003,0.260031,0.2627189999999999
10c.sql,1.64121,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.64121,1.989218,1.8134860000000002,1.762516
11a.sql,0.055889,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.170082,0.071432,0.075599,0.055889
11b.sql,0.029095999999999997,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.11869099999999999,0.031028999999999998,0.029095999999999997,0.037371
11c.sql,0.076171,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.076171,0.204172,0.161321,0.601085
11d.sql,0.14061200000000001,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.14061200000000001,0.158191,0.154912,0.16190600000000002
12a.sql,0.158548,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17098300000000002,0.158548,0.183525,0.17773099999999997
12b.sql,0.081151,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.087106,0.091555,0.081151,0.087023
12c.sql,0.570151,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.570407,0.581676,0.570151,0.617328
13a.sql,1.069294,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.252273,1.069294,1.070985,1.278285
13b.sql,0.50659,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.6148720000000001,0.5292960000000001,0.50659,0.5829270000000001
13c.sql,0.497915,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.595831,0.515549,0.497915,0.568639
13d.sql,1.531027,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.868174,1.531027,1.6788300000000003,1.990519
14a.sql,0.3603,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.232214,0.36484800000000006,0.362664,0.3603
14b.sql,0.1472,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.192483,0.14857499999999998,0.1472,0.554481
14c.sql,0.6154379999999999,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.6469159999999999,0.6735919999999999,0.6154379999999999,0.6880179999999999
15a.sql,0.27286900000000003,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.28975500000000004,0.283207,0.273649,0.27286900000000003
15b.sql,0.040869,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.053151000000000004,0.05303,0.040869,0.046231999999999995
15c.sql,0.5029319999999999,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.7460079999999999,0.5155420000000001,0.5029319999999999,0.707441
15d.sql,0.5071420000000001,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.744888,0.5071420000000001,0.586064,0.732111
16a.sql,0.221066,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.255517,0.233323,0.221066,0.443779
16b.sql,11.484101,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,11.626392000000001,19.408166,19.376877,11.484101
16c.sql,1.0885259999999999,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.114584,1.5945900000000002,1.572641,1.0885259999999999
16d.sql,0.907281,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.914814,1.248503,1.249148,0.907281
17a.sql,8.946397000000001,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.946397000000001,10.15259,10.505378,8.987675000000001
17b.sql,8.280850000000001,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.280850000000001,8.858569,9.002232,8.309673
17c.sql,8.072939,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.371243000000002,8.520158,8.688343,8.072939
17d.sql,8.210847999999999,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,8.380458999999998,9.250567,8.79617,8.210847999999999
17e.sql,7.792579,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,7.927068,11.639710000000001,11.559965,7.792579
17f.sql,8.930965999999998,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,9.119427,10.915512999999999,11.226128000000001,8.930965999999998
18a.sql,4.397781,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.397781,4.444815,4.441743000000001,4.5973999999999995
18b.sql,0.175114,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.360246,0.179595,0.180664,0.175114
18c.sql,5.654226,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.7297590000000005,5.879881,5.654226,5.694623
19a.sql,0.22060300000000002,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.418728,0.23936999999999997,0.22060300000000002,0.237406
19b.sql,0.11146600000000001,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.439687,0.128327,0.11146600000000001,0.11656899999999999
19c.sql,1.190276,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.190276,1.197164,1.456763,1.209236
19d.sql,2.7768870000000003,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,2.838709,4.956498000000001,5.067826,2.7768870000000003
1a.sql,0.08067300000000001,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.086894,0.08365199999999999,0.08067300000000001,0.08627699999999999
1b.sql,0.076211,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08273,0.082508,0.076211,0.08204800000000001
1c.sql,0.08003899999999999,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08003899999999999,0.08084899999999999,0.080855,0.083253
1d.sql,0.076127,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.08262199999999999,0.076127,0.081169,0.07764700000000001
20a.sql,3.238837,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.827439,3.238837,3.3444369999999997,4.895511999999999
20b.sql,1.388994,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.594688,2.276548,2.590582,1.388994
20c.sql,1.2916860000000001,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.751493,1.2916860000000001,1.441312,1.580937
21a.sql,0.057163000000000005,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.310296,0.08024500000000001,0.088704,0.057163000000000005
21b.sql,0.042259,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.213655,0.058594999999999994,0.060099,0.042259
21c.sql,0.045241,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.243412,0.060107,0.064772,0.045241
22a.sql,0.374617,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.505154,0.538011,0.48513599999999996,0.374617
22b.sql,0.318607,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.372036,0.40904500000000005,0.354593,0.318607
22c.sql,0.563113,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.373738,0.9368550000000001,1.4509229999999997,0.563113
22d.sql,0.805125,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.847193,0.977432,0.926911,0.805125
23a.sql,0.257902,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.378728,0.362769,0.257902,0.29538600000000004
23b.sql,0.06678300000000001,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.10364699999999999,0.092751,0.06678300000000001,0.068684
23c.sql,0.35730300000000004,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.444689,0.436571,0.371276,0.35730300000000004
24a.sql,0.264084,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.35203799999999996,0.44196799999999997,0.591536,0.264084
24b.sql,0.127728,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.241965,0.197745,0.279547,0.127728
25a.sql,2.521571,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.282681,2.6138259999999995,2.521571,4.282272000000001
25b.sql,0.28923299999999996,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.958884,0.37992,0.28923299999999996,3.9758379999999995
25c.sql,4.082208,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.29563,9.273467,8.878198,4.082208
26a.sql,1.032991,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.114081,1.4155099999999998,1.297768,1.032991
26b.sql,0.207756,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.450026,0.36535799999999996,0.207756,0.239927
26c.sql,3.52604,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,3.52604,4.50504,4.439535,3.536284
27a.sql,0.09113,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.17855,0.171882,0.092421,0.09113
27b.sql,0.08599599999999999,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.176281,0.16913,0.08599599999999999,0.09103300000000002
27c.sql,0.09549699999999998,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.154915,0.158031,0.10109499999999999,0.09549699999999998
28a.sql,0.8469739999999999,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.638083,1.357927,0.91722,0.8469739999999999
28b.sql,0.601236,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.223449,1.112633,0.601236,0.7377819999999999
28c.sql,0.765956,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,1.929923,1.2662179999999998,0.993355,0.765956
29a.sql,2.8948300000000002,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,26.865475999999997,25.647065,3.060657,2.8948300000000002
29b.sql,2.639972,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,26.731513999999997,25.537504000000002,2.9498480000000002,2.639972
29c.sql,5.173749,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,32.721041,32.625784,8.603576,5.173749
2a.sql,0.398199,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.41721900000000006,0.459852,0.459788,0.398199
2b.sql,0.381318,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.38436200000000004,0.482234,0.447138,0.381318
2c.sql,0.41662299999999997,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.5538730000000001,0.41662299999999997,0.42117,0.5498159999999999
2d.sql,0.556954,all_three,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.556954,0.581345,0.579939,0.567684
30a.sql,0.530976,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,2.786523,4.1264840000000005,3.896178,0.530976
30b.sql,0.40981199999999995,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.91058,3.988503,0.40981199999999995,1.1236290000000002
30c.sql,3.552182,ce_jn,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.300306,3.552182,3.939169,4.191770999999999
31a.sql,1.258483,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.279879,1.298418,1.258483,5.604820999999999
31b.sql,0.363795,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,4.829902999999999,0.429478,0.363795,0.981311
31c.sql,1.285714,ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,5.374734,1.312642,1.285714,4.538664
32a.sql,0.016282,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_beta,0.4,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2,0.017682,0.016511,0.016653,0.016282
