query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.435119,ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.45646,0.463769,0.435119,0.43953200000000003
10b.sql,0.239521,ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.260328,0.272982,0.239521,0.25433
10c.sql,1.663383,all_three,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,1.663383,1.9460709999999999,1.816131,1.771521
11a.sql,0.057453000000000004,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.169915,0.069394,0.073602,0.057453000000000004
11b.sql,0.029934000000000002,ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.120003,0.034054,0.029934000000000002,0.036036
11c.sql,0.080307,all_three,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.080307,0.199994,0.18498399999999998,0.5937690000000001
11d.sql,0.14561000000000002,all_three,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.14561000000000002,0.16334600000000002,0.173831,0.149055
12a.sql,0.169508,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.174453,0.18388000000000002,0.17717700000000003,0.169508
12b.sql,0.07903,cm_ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.09691799999999999,0.09093100000000001,0.084654,0.07903
12c.sql,0.573712,ce,success,tee_cardinality_estimation.sev_join_fanout_threshold,2.5,3.0,0.5,0.25,0.32,0.6,2.5,3.5,1.1,12000,2000,10.0,4.0,1.2,0.626055,0.579685,0.573712,0.602165
