query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent,total_time_all_three,total_time_ce_jn,total_time_ce,total_time_cm_ce
10a.sql,0.43817500000000004,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.483971,0.456574,0.43817500000000004,0.439732
10b.sql,0.243809,all_three,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.243809,0.267249,0.254019,0.250901
10c.sql,1.7973680000000003,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,1.839962,1.9657410000000002,1.7973680000000003,1.814901
11a.sql,0.065148,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.180649,0.072511,0.073396,0.065148
11b.sql,0.031076,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.122975,0.036535,0.031076,0.037461
11c.sql,0.076472,ce_jn,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.079605,0.076472,0.194277,0.596346
11d.sql,0.151859,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.162556,0.179638,0.17643799999999998,0.151859
12a.sql,0.17043000000000003,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.185317,0.170752,0.17467100000000002,0.17043000000000003
12b.sql,0.078485,ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.089463,0.088996,0.078485,0.086249
12c.sql,0.5634490000000001,cm_ce,success,tee_cardinality_estimation.sev_join_rows_cap,1.0,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2,0.583278,0.585128,0.583569,0.5634490000000001
