query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008263999999999999,0.42453399999999997,0.43279799999999996,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10b.sql,0.010515,0.25431200000000004,0.26482700000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10c.sql,0.008558999999999999,1.6416600000000001,1.650219,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11a.sql,0.01063,0.16310400000000003,0.17373400000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11b.sql,0.011976,0.11445699999999999,0.126433,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11c.sql,0.011663999999999999,0.056805,0.068469,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11d.sql,0.012593,0.139476,0.15206899999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12a.sql,0.008287000000000001,0.17185599999999998,0.18014299999999997,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12b.sql,0.013474999999999999,0.072482,0.085957,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12c.sql,0.014378,0.614488,0.628866,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13a.sql,0.019971,1.2478889999999998,1.2678599999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13b.sql,0.019364,0.598364,0.617728,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13c.sql,0.017297999999999997,0.5750019999999999,0.5922999999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13d.sql,0.019531,1.824376,1.843907,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14a.sql,0.012048999999999999,1.173402,1.185451,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14b.sql,0.010393000000000001,0.172012,0.182405,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14c.sql,0.010877000000000001,0.685093,0.69597,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15a.sql,0.024043,0.25995,0.283993,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15b.sql,0.023042,0.027346,0.050388,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15c.sql,0.025038,0.722321,0.747359,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15d.sql,0.02547,0.7325839999999999,0.7580539999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16a.sql,0.016436,0.237677,0.254113,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16b.sql,0.017059,11.513736000000002,11.530795000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16c.sql,0.015897,1.064613,1.08051,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16d.sql,0.017292000000000002,0.8968590000000001,0.914151,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17a.sql,0.010749,8.822239,8.832988,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17b.sql,0.010448,8.449847,8.460295,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17c.sql,0.010898999999999999,8.071736,8.082635,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17d.sql,0.009693,8.244283,8.253976,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17e.sql,0.010166999999999999,7.499085,7.509252,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17f.sql,0.011464,8.829902,8.841366,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18a.sql,0.010237999999999999,4.395347,4.405585,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18b.sql,0.009803000000000001,0.34686700000000004,0.35667000000000004,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18c.sql,0.010938,5.738784,5.749722,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19a.sql,0.043141,3.3458829999999997,3.3890239999999996,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19b.sql,0.037341,0.430975,0.468316,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19c.sql,0.044536,1.1420540000000001,1.18659,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19d.sql,0.05002,2.730049,2.780069,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1a.sql,0.002352,0.091666,0.09401799999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1b.sql,0.0020459999999999996,0.078539,0.080585,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1c.sql,0.002297,0.07834300000000001,0.08064,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1d.sql,0.002096,0.089292,0.091388,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20a.sql,0.030204,4.709957,4.7401610000000005,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20b.sql,0.027962,1.520788,1.54875,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20c.sql,0.035212,1.7004549999999998,1.7356669999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21a.sql,0.022791,0.288903,0.311694,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21b.sql,0.021254000000000002,0.193192,0.214446,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21c.sql,0.020797,0.23344399999999998,0.254241,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22a.sql,0.077309,0.409237,0.48654600000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22b.sql,0.072363,0.28865199999999996,0.361015,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22c.sql,0.075433,1.293262,1.368695,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22d.sql,0.065338,0.797408,0.862746,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23a.sql,0.064428,0.29770100000000005,0.36212900000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23b.sql,0.060327,0.037104,0.09743099999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23c.sql,0.056553,0.37219,0.42874300000000004,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
24a.sql,0.159448,0.179769,0.339217,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
24b.sql,0.177654,0.082787,0.26044100000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25a.sql,0.022556,4.292553,4.315109,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25b.sql,0.022189,3.925544,3.947733,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25c.sql,0.023568000000000002,5.22626,5.249828,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
26a.sql,0.164218,0.965456,1.129674,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
26b.sql,0.156697,1.320643,1.47734,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
26c.sql,0.141883,3.2511750000000004,3.3930580000000004,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
27a.sql,0.170292,0.009625,0.179917,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
27b.sql,0.176541,0.007259000000000001,0.1838,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
27c.sql,0.145512,0.008378,0.15389,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
28a.sql,0.7733260000000001,0.8476910000000001,1.6210170000000002,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
28b.sql,0.773627,0.458685,1.2323119999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
28c.sql,0.536218,1.355759,1.8919769999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
29a.sql,26.930277999999998,1.428768,28.359046,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
29b.sql,26.427671999999998,0.301036,26.728707999999997,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
29c.sql,32.679967,0.724745,33.404711999999996,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
2a.sql,0.0022559999999999998,0.420422,0.422678,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
2b.sql,0.001232,0.404736,0.405968,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
2c.sql,0.001468,0.5336230000000001,0.5350910000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
2d.sql,0.001544,0.559567,0.561111,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
30a.sql,0.179393,2.666216,2.845609,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
30b.sql,0.165138,4.653252,4.81839,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
30c.sql,0.17849299999999999,4.0722890000000005,4.250782,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
31a.sql,0.088619,5.216095,5.304714000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
31b.sql,0.09532299999999999,4.685054,4.780377,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
31c.sql,0.093628,5.269989,5.363617,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
32a.sql,0.004098,0.011807,0.015905,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
