query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008392,0.4446,0.452992,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.010934,0.259062,0.269996,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.010898,1.6500899999999998,1.660988,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.013643,0.15784399999999998,0.17148699999999997,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.012861000000000001,0.107137,0.119998,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.012099,0.061165,0.073264,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.013047000000000001,0.124362,0.137409,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012136,0.169513,0.181649,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.019249,0.074702,0.093951,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.014449,0.601086,0.615535,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.020494,1.245116,1.26561,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.018471,0.6003630000000001,0.6188340000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.019828,0.588673,0.608501,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.023349,1.819782,1.843131,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.013488,1.185805,1.199293,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.013848000000000001,0.172923,0.186771,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.014047,0.620451,0.634498,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.023056,0.263341,0.286397,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.02273,0.026847000000000003,0.049577,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.021870999999999998,0.709231,0.7311019999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.024744,0.714637,0.739381,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.017306000000000002,0.235465,0.252771,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.016073,11.680354,11.696427,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.015955,1.045269,1.061224,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.017995,0.8653150000000001,0.88331,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.011429,8.555346,8.566775,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.011078,8.200954,8.212031999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.007844,8.232914000000001,8.240758000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.0052450000000000005,8.234548,8.239793,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.010182,7.863111,7.873293,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.012538,9.389997,9.402534999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.007377,4.426895,4.434272,1,tee_cardinality_estimation.sev_max_join_rows_factor,2.5,success,3.0,0.5,0.25,0.32,0.6,2.7,2.5,1.1,12000,2000,10.0,4.0,1.2
