query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.006485,0.41644200000000003,0.42292700000000005,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
10b.sql,0.010353999999999999,0.2602,0.27055399999999996,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
10c.sql,0.010979,1.635578,1.646557,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11a.sql,0.013465999999999999,0.156584,0.17005,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11b.sql,0.013195,0.10821,0.121405,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11c.sql,0.015147,0.057277,0.072424,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11d.sql,0.015834,0.166867,0.182701,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12a.sql,0.012935,0.16688399999999998,0.17981899999999998,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12b.sql,0.011117,0.07524,0.086357,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12c.sql,0.013649,0.594976,0.608625,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13a.sql,0.016488,1.215384,1.231872,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13b.sql,0.018764,0.6052329999999999,0.6239969999999999,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13c.sql,0.020135,0.608153,0.6282880000000001,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13d.sql,0.018996,1.849938,1.868934,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
14a.sql,0.01308,1.1582329999999998,1.1713129999999998,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
14b.sql,0.011674,0.182968,0.19464199999999998,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
14c.sql,0.01472,0.6288619999999999,0.6435819999999999,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
15a.sql,0.017082,0.25863099999999994,0.27571299999999993,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
15b.sql,0.023576,0.025773,0.049349000000000004,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
15c.sql,0.024379,0.715893,0.740272,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
15d.sql,0.022728,0.725862,0.74859,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
16a.sql,0.016951,0.238165,0.255116,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
16b.sql,0.016777999999999998,11.716299000000001,11.733077000000002,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
16c.sql,0.016948,1.051119,1.0680669999999999,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
16d.sql,0.011618,0.8857630000000001,0.8973810000000001,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17a.sql,0.00879,9.029101,9.037891,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17b.sql,0.011035,8.363002,8.374037,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17c.sql,0.011994,8.160768000000001,8.172762,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17d.sql,0.010355,8.353183999999999,8.363539,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17e.sql,0.011955,7.733296,7.7452510000000006,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
17f.sql,0.011885,9.063073000000001,9.074958,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
18a.sql,0.008835,4.184766,4.193601,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
18b.sql,0.008047,0.35473200000000005,0.3627790000000001,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
18c.sql,0.011170999999999999,5.477850999999999,5.489021999999999,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
19a.sql,0.043436,3.443623,3.487059,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
19b.sql,0.035955,0.40599599999999997,0.441951,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
19c.sql,0.040585,1.1370419999999999,1.177627,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
19d.sql,0.050449,2.8105830000000003,2.8610320000000002,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
1a.sql,0.002534,0.083334,0.085868,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
