query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.010496,0.448231,0.458727,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.010123,0.25069,0.260813,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.011097,1.6498430000000002,1.66094,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.013379,0.169003,0.182382,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.007704,0.117502,0.12520599999999998,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.013356999999999999,0.051042000000000004,0.064399,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.013279,0.128072,0.141351,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.013491,0.15128999999999998,0.16478099999999998,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.013082,0.079845,0.092927,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.013075,0.6219750000000001,0.63505,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.020657000000000002,1.244172,1.264829,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.018732,0.608641,0.627373,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.020314,0.590622,0.6109359999999999,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.019917,1.873974,1.893891,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.012806,1.197158,1.209964,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.01599,0.172907,0.188897,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.011016,0.639434,0.65045,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.020368999999999998,0.261112,0.281481,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.023618,0.029494,0.053112,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.021315,0.710003,0.731318,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.02414,0.711932,0.7360720000000001,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.016153999999999998,0.243234,0.259388,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.016794,11.894474,11.911268000000002,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.018555,1.1083859999999999,1.126941,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.015305,0.898088,0.913393,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.00956,9.076818,9.086378,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.00545,8.394086999999999,8.399536999999999,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.011865,7.849100999999999,7.8609659999999995,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.009776,8.379467,8.389243,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.008416,7.849123,7.857539,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.008997,9.394620999999999,9.403618,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.007317000000000001,4.006207,4.013523999999999,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.004651,0.344478,0.349129,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.009691,5.1845159999999995,5.194207,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.038898,3.366054,3.404952,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.031873,0.40913,0.441003,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.042436,1.151891,1.194327,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.046908,2.828547,2.875455,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.001385,0.083703,0.085088,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.001191,0.08268600000000001,0.08387700000000001,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
