query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.0047539999999999995,0.442633,0.447387,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.005169,0.260129,0.265298,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.011305999999999998,1.638722,1.650028,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.012715,0.15774000000000002,0.17045500000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.013278,0.105279,0.118557,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.014032,0.066916,0.080948,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.013418,0.152739,0.166157,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.011271000000000002,0.159516,0.170787,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.01311,0.074587,0.087697,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.014459,0.614049,0.628508,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.018594000000000003,1.250863,1.269457,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.027649999999999997,0.610343,0.6379929999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.019375,0.5732780000000001,0.5926530000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.019577999999999998,1.846268,1.8658460000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.014419000000000001,1.1561949999999999,1.1706139999999998,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.011892,0.166554,0.178446,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.013301,0.602675,0.615976,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.023484,0.262563,0.286047,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.017313,0.027805,0.045118,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.024631,0.727592,0.752223,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.025614,0.7088099999999999,0.734424,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.015363,0.22961199999999998,0.24497499999999997,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.017651,11.813203,11.830854,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.017908,1.0435999999999999,1.061508,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.016659,0.867834,0.884493,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.010611,8.612456,8.623067,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.011510999999999999,8.225003000000001,8.236514000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.009368,7.860768,7.8701360000000005,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.012388,7.949720999999999,7.962108999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.009840999999999999,7.4363980000000005,7.446239,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.009537,8.891449,8.900986,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.008689,4.4247700000000005,4.433459000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.007326,0.329469,0.336795,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.00736,5.730362,5.737722000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.042923,3.351168,3.394091,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.035631,0.402125,0.43775600000000003,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.044077,1.151663,1.19574,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.051579,2.846808,2.8983869999999996,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.001529,0.092892,0.094421,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.001199,0.071878,0.073077,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1c.sql,0.00182,0.079011,0.080831,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1d.sql,0.001971,0.073936,0.075907,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
20a.sql,0.029046,4.786562,4.815608,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
20b.sql,0.02466,1.572362,1.597022,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
20c.sql,0.036027,1.743586,1.7796130000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
21a.sql,0.01662,0.290614,0.307234,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
21b.sql,0.027798,0.199411,0.227209,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
21c.sql,0.021012,0.232937,0.253949,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
22a.sql,0.077457,0.446171,0.523628,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
22b.sql,0.075625,0.300495,0.37612,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
22c.sql,0.077031,1.2896130000000001,1.3666440000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
22d.sql,0.065379,0.790043,0.855422,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
