query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.009963,0.439172,0.449135,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
10b.sql,0.010067999999999999,0.248777,0.258845,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
10c.sql,0.011471,1.9153889999999998,1.9268599999999998,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
11a.sql,0.01248,0.166159,0.178639,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
11b.sql,0.011616,0.112381,0.123997,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
11c.sql,0.010085,0.090375,0.10046,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
11d.sql,0.016337,0.060818,0.077155,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
12a.sql,0.013619999999999998,0.14343199999999998,0.15705199999999997,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
12b.sql,0.011612,0.07468000000000001,0.08629200000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
12c.sql,0.014619,0.599325,0.613944,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
13a.sql,0.019377,1.2305709999999999,1.2499479999999998,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
13b.sql,0.019246,0.60809,0.627336,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
13c.sql,0.018828,0.590329,0.609157,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
13d.sql,0.018788,1.843899,1.862687,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
14a.sql,0.013451000000000001,1.157675,1.1711260000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
14b.sql,0.012889,0.638064,0.650953,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
14c.sql,0.012579,0.626297,0.638876,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
15a.sql,0.021924,0.26752499999999996,0.28944899999999996,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
15b.sql,0.022468,0.028152,0.05062,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
15c.sql,0.024607,0.7326710000000001,0.7572780000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
15d.sql,0.025756,0.713489,0.739245,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
16a.sql,0.016276,0.23522900000000002,0.25150500000000003,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
16b.sql,0.017228999999999998,11.486001,11.50323,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
16c.sql,0.01143,1.049249,1.0606790000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
16d.sql,0.013212999999999999,0.865122,0.878335,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17a.sql,0.0054009999999999996,8.9834,8.988801,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17b.sql,0.007858,8.298186,8.306044,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17c.sql,0.009590999999999999,8.230167,8.239758,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17d.sql,0.009223,8.310215,8.319438,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17e.sql,0.011743,7.710956,7.722699,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
17f.sql,0.010686,9.271776,9.282461999999999,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
18a.sql,0.010046,4.391357,4.401403,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
18b.sql,0.008917,0.348372,0.357289,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
18c.sql,0.007656,5.723622000000001,5.7312780000000005,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
19a.sql,0.041104,3.3904140000000003,3.431518,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
19b.sql,0.035323,0.430195,0.465518,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
19c.sql,0.045673000000000005,1.172929,1.2186020000000002,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
19d.sql,0.050557000000000005,2.883576,2.934133,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
1a.sql,0.001479,0.078974,0.080453,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
1b.sql,0.001284,0.072181,0.07346499999999999,1,tee_cardinality_estimation.sev_join_rows_cap,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.3,12000,2000,10.0,4.0,1.2
