query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008388,0.443282,0.45167,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.010403,0.256365,0.266768,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.009916000000000001,1.6652639999999999,1.67518,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.014449,0.16071000000000002,0.175159,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.013021000000000001,0.10502299999999999,0.118044,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.015015,0.050128,0.065143,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.015056,0.150938,0.16599399999999997,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012159000000000001,0.140619,0.152778,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.014192999999999999,0.07060899999999999,0.08480199999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.014025000000000001,0.612919,0.626944,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.019525999999999998,1.264903,1.284429,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.020815,0.6072799999999999,0.628095,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.019941,0.5895199999999999,0.6094609999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.019085,1.841066,1.860151,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.5,success,2.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
