query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008168,0.44837099999999996,0.456539,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.01094,0.25423,0.26517,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.010815,1.630395,1.64121,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.014557,0.155525,0.170082,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.012747999999999999,0.105943,0.11869099999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.01298,0.063191,0.076171,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.012164999999999999,0.128447,0.14061200000000001,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012029,0.158954,0.17098300000000002,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.011925000000000002,0.075181,0.087106,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.012010999999999999,0.558396,0.570407,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.014033,1.23824,1.252273,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.020286000000000002,0.5945860000000001,0.6148720000000001,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.01685,0.578981,0.595831,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.018668,1.849506,1.868174,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.013831,1.218383,1.232214,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.01348,0.179003,0.192483,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.013581,0.633335,0.6469159999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.022136,0.26761900000000005,0.28975500000000004,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.024891,0.02826,0.053151000000000004,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.023824,0.7221839999999999,0.7460079999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.023129999999999998,0.721758,0.744888,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.015321,0.240196,0.255517,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.014829,11.611563,11.626392000000001,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.015614000000000001,1.09897,1.114584,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.016315,0.898499,0.914814,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.007911,8.938486000000001,8.946397000000001,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.010116,8.270734000000001,8.280850000000001,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.0076950000000000005,8.363548000000002,8.371243000000002,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.008346,8.372112999999999,8.380458999999998,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.011528,7.91554,7.927068,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.005481,9.113946,9.119427,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.009607,4.388174,4.397781,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.008180999999999999,0.352065,0.360246,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.011083,5.718676,5.7297590000000005,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.042192999999999994,3.376535,3.418728,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.037024,0.402663,0.439687,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.045661,1.144615,1.190276,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.050546,2.788163,2.838709,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.002532,0.08436199999999999,0.086894,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.002149,0.080581,0.08273,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1c.sql,0.002076,0.07796299999999999,0.08003899999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1d.sql,0.0026579999999999998,0.079964,0.08262199999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20a.sql,0.030735,4.796704,4.827439,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20b.sql,0.027822,1.566866,1.594688,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20c.sql,0.036133000000000005,1.71536,1.751493,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21a.sql,0.021274,0.289022,0.310296,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21b.sql,0.023528,0.19012700000000002,0.213655,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21c.sql,0.020440999999999997,0.222971,0.243412,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22a.sql,0.087092,0.418062,0.505154,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22b.sql,0.076247,0.29578899999999997,0.372036,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22c.sql,0.080266,1.293472,1.373738,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22d.sql,0.064228,0.782965,0.847193,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23a.sql,0.058384,0.320344,0.378728,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23b.sql,0.063914,0.039733,0.10364699999999999,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23c.sql,0.057459,0.38723,0.444689,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24a.sql,0.163993,0.188045,0.35203799999999996,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24b.sql,0.177208,0.06475700000000001,0.241965,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
25a.sql,0.023100000000000002,4.259581,4.282681,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
25b.sql,0.023001999999999998,3.935882,3.958884,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
25c.sql,0.022527000000000002,5.273103,5.29563,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
26a.sql,0.162669,0.951412,1.114081,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
26b.sql,0.157834,1.292192,1.450026,1,tee_cardinality_estimation.sev_join_fanout_beta,0.4,success,3.0,0.5,0.25,0.32,0.4,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
