query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.00793,0.476041,0.483971,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
10b.sql,0.007098,0.236711,0.243809,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
10c.sql,0.011234,1.8287280000000001,1.839962,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
11a.sql,0.014065,0.166584,0.180649,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
11b.sql,0.013429,0.109546,0.122975,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
11c.sql,0.016037,0.063568,0.079605,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
11d.sql,0.016073,0.146483,0.162556,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
12a.sql,0.013079,0.172238,0.185317,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
12b.sql,0.014699,0.074764,0.089463,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
12c.sql,0.013035999999999999,0.5702419999999999,0.583278,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
13a.sql,0.019561,1.2788130000000002,1.2983740000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
13b.sql,0.017305,0.615245,0.6325500000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
13c.sql,0.016798999999999998,0.601154,0.617953,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
13d.sql,0.017872,1.865346,1.8832179999999998,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
14a.sql,0.013569000000000001,1.2002940000000002,1.2138630000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
14b.sql,0.014237999999999999,0.175649,0.189887,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
14c.sql,0.014489,0.6342340000000001,0.648723,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
15a.sql,0.02264,0.254658,0.277298,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
15b.sql,0.022169,0.028158000000000002,0.050327000000000004,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
15c.sql,0.019731000000000002,0.7487849999999999,0.768516,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
15d.sql,0.025002,0.7335430000000001,0.758545,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
16a.sql,0.015105,0.236807,0.25191199999999997,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
16b.sql,0.015368999999999999,12.349709,12.365078,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
16c.sql,0.014587999999999999,1.1582000000000001,1.1727880000000002,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
16d.sql,0.018283,0.905375,0.9236580000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17a.sql,0.008815,9.059593000000001,9.068408000000002,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17b.sql,0.010253,8.947707000000001,8.957960000000002,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17c.sql,0.010138,8.304098,8.314236,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17d.sql,0.008152,8.340861,8.349013000000001,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17e.sql,0.007908,7.754614999999999,7.762522999999999,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
17f.sql,0.009051,9.341085,9.350136,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
18a.sql,0.010369,4.393642,4.404011,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
18b.sql,0.009416,0.29894,0.30835599999999996,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
18c.sql,0.008341,5.728865,5.737206,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
19a.sql,0.044395000000000004,3.336192,3.3805870000000002,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
19b.sql,0.036876,0.409192,0.446068,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
19c.sql,0.045238999999999994,1.140541,1.18578,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
19d.sql,0.048667999999999996,2.789127,2.8377950000000003,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
1a.sql,0.002355,0.079515,0.08187,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
1b.sql,0.00138,0.074788,0.076168,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
1c.sql,0.002469,0.078749,0.081218,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
1d.sql,0.002076,0.07681199999999999,0.07888799999999999,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
20a.sql,0.026082,4.6532860000000005,4.679368,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
20b.sql,0.025763,1.519902,1.545665,1,tee_cardinality_estimation.sev_join_rows_cap,1.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.0,12000,2000,10.0,4.0,1.2
