query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.00279,0.44922300000000004,0.45201300000000005,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
10b.sql,0.003686,0.24809299999999998,0.251779,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
10c.sql,0.005025,1.820144,1.825169,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11a.sql,0.006979,0.064501,0.07148,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11b.sql,0.009207,0.022205,0.031411999999999995,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11c.sql,0.007307,0.176445,0.183752,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
11d.sql,0.006557,0.142118,0.148675,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12a.sql,0.007378999999999999,0.171673,0.179052,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12b.sql,0.010598000000000002,0.074764,0.085362,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
12c.sql,0.006618000000000001,0.5613980000000001,0.5680160000000001,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13a.sql,0.011868,1.0862729999999998,1.0981409999999998,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13b.sql,0.011568,0.495181,0.506749,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13c.sql,0.011989000000000001,0.503618,0.515607,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
13d.sql,0.010289999999999999,1.659259,1.669549,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
14a.sql,0.007371000000000001,0.35614999999999997,0.363521,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
14b.sql,0.008726000000000001,0.141776,0.15050200000000002,1,tee_cardinality_estimation.sev_max_pages_factor,9.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,9.0,4.0,1.2
