query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.005129,1.46671,1.471839,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.005208999999999999,0.275615,0.280824,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.003471,1.8036320000000001,1.8071030000000001,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.00818,0.065298,0.07347799999999999,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.003935,0.022276,0.026211,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.006046,0.19303299999999998,0.19907899999999998,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.006113,0.143361,0.149474,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.0044800000000000005,0.169467,0.17394700000000002,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.00983,0.072472,0.082302,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.009852999999999999,0.55916,0.569013,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.010728999999999999,1.081414,1.092143,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.013186999999999999,0.503839,0.517026,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.013587,0.502213,0.5158,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.013947,1.661203,1.67515,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.009016999999999999,0.36691,0.375927,1,tee_cardinality_estimation.sev_cache_size_scale,0.3,success,3.0,0.3,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
