query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.002376,0.44880200000000003,0.451178,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
10b.sql,0.0052510000000000005,0.25454499999999997,0.25979599999999997,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
10c.sql,0.003609,1.796625,1.800234,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
11a.sql,0.008005,0.064718,0.072723,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
11b.sql,0.006771,0.023370000000000002,0.030141,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
11c.sql,0.007843,0.19652699999999998,0.20436999999999997,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
11d.sql,0.009464,0.14557599999999998,0.15503999999999998,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
12a.sql,0.008791,0.17363499999999998,0.18242599999999998,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
12b.sql,0.010263,0.076871,0.08713399999999999,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
12c.sql,0.010199,0.550556,0.560755,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
13a.sql,0.011855000000000001,1.076468,1.088323,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
13b.sql,0.0128,0.510961,0.523761,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
13c.sql,0.01414,0.501842,0.515982,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
13d.sql,0.012825,1.697579,1.710404,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1000,10.0,4.0,1.2
