query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.00362,0.440122,0.443742,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.0031179999999999997,0.258091,0.261209,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.002731,1.809033,1.811764,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.009495,0.063739,0.07323400000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.009084,0.02128,0.030364000000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.009614000000000001,0.177219,0.186833,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.009500999999999999,0.160248,0.169749,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.010115,0.164553,0.17466800000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.006966999999999999,0.07594,0.082907,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.008775999999999999,0.56549,0.574266,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.0071920000000000005,1.062488,1.0696800000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.011654,0.516556,0.5282100000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.01205,0.48237599999999997,0.494426,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.016616,1.620864,1.63748,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.00887,0.34740899999999997,0.35627899999999996,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.005865,0.156954,0.16281900000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.006969,0.649019,0.655988,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.015724000000000002,0.266791,0.282515,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.014397,0.025337,0.039734,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.015792,0.491106,0.506898,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.017263,0.5581459999999999,0.575409,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.011353,0.20935900000000002,0.22071200000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.010945,18.931850999999998,18.942795999999998,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.009743,1.544673,1.554416,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.010834,1.2705609999999998,1.2813949999999998,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.003041,10.709228,10.712269,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.003346,9.057941999999999,9.061288,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.2,success,3.0,0.5,0.2,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
