query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.004949,0.43943099999999996,0.44437999999999994,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
10b.sql,0.005153,0.254602,0.259755,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
10c.sql,0.005208,1.827831,1.833039,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
11a.sql,0.009115,0.062049,0.071164,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
11b.sql,0.009412,0.022956,0.032368,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
11c.sql,0.004264,0.178189,0.18245299999999998,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
11d.sql,0.006428,0.140346,0.146774,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
12a.sql,0.006218,0.147313,0.153531,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
12b.sql,0.009571,0.07176600000000001,0.081337,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
12c.sql,0.007293,0.520211,0.527504,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
13a.sql,0.014134,1.0691389999999998,1.083273,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
13b.sql,0.007476,0.476693,0.48416899999999996,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
13c.sql,0.010062,0.479333,0.489395,1,tee_cardinality_estimation.sev_max_width_factor,5.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,5.0,1.2
