query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.00497,0.45333999999999997,0.45830999999999994,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.004235,0.246219,0.250454,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.004974999999999999,1.823655,1.82863,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.004275,0.06462699999999999,0.06890199999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.006831,0.024199000000000002,0.031030000000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.00409,0.182194,0.186284,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.006229,0.186399,0.19262800000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.007375,0.168775,0.17615,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010504,0.072657,0.083161,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.010135,0.5656720000000001,0.5758070000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.012542999999999999,1.089606,1.102149,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.013391,0.502266,0.515657,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.013260999999999998,0.49888,0.512141,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.013798,1.653993,1.667791,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.009291,0.372421,0.381712,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.008482,0.14632699999999998,0.15480899999999997,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.0092,0.632871,0.642071,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.015336,0.271039,0.286375,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.015708,0.026445,0.042152999999999996,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.017099,0.491942,0.509041,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.017981,0.5615330000000001,0.5795140000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.01122,0.20638900000000002,0.21760900000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.010319,19.402101,19.412419999999997,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.010795,1.559091,1.5698860000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.01165,1.2248240000000001,1.236474,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.0042510000000000004,10.835555000000001,10.839806000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.004422,9.076542,9.080964,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.004292,8.989522999999998,8.993814999999998,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.006114,8.770681,8.776795,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.006133,11.691329,11.697462,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.0062169999999999994,11.140554,11.146771,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.006014,4.434698,4.440712,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.005699,0.167917,0.17361600000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.0025870000000000003,5.6425860000000005,5.645173000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.020683,0.19622399999999998,0.216907,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.019327,0.092904,0.112231,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.026044,1.429567,1.455611,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.021867,4.7658119999999995,4.787679,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.001484,0.08881499999999999,0.09029899999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.000915,0.07751999999999999,0.07843499999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.0,success,3.0,0.5,0.25,0.32,0.6,2.7,4.0,1.1,12000,2000,10.0,4.0,1.2
