query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.002967,0.442504,0.445471,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
10b.sql,0.003474,0.245075,0.248549,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
10c.sql,0.005064,1.817901,1.822965,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
11a.sql,0.007427,0.064806,0.072233,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
11b.sql,0.007143,0.021234000000000003,0.028377000000000003,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
11c.sql,0.008728,0.181365,0.190093,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
11d.sql,0.006467,0.14668799999999999,0.15315499999999999,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
12a.sql,0.009307000000000001,0.150552,0.159859,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
12b.sql,0.006863,0.073362,0.08022499999999999,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
12c.sql,0.009968,0.567461,0.577429,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
13a.sql,0.011919,1.094647,1.106566,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
13b.sql,0.014069000000000002,0.5204160000000001,0.5344850000000001,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
13c.sql,0.013343,0.490668,0.504011,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
13d.sql,0.013071,1.6656,1.678671,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
14a.sql,0.007719999999999999,0.37278,0.3805,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
14b.sql,0.005495,0.15295699999999998,0.15845199999999998,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
14c.sql,0.00858,0.677935,0.686515,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
15a.sql,0.015718,0.26359899999999997,0.279317,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
15b.sql,0.010276,0.026463,0.036739,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
15c.sql,0.016565,0.48445499999999997,0.50102,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
15d.sql,0.014441,0.562172,0.576613,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
16a.sql,0.011305999999999998,0.205495,0.21680100000000002,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
16b.sql,0.009302,19.357088,19.366390000000003,1,tee_cardinality_estimation.sev_join_skip_rows,14000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,14000,2000,10.0,4.0,1.2
