query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.004923,0.448043,0.45296600000000004,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.003778,0.25782900000000003,0.26160700000000003,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.005093,1.812394,1.817487,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.009626,0.064637,0.074263,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.009174,0.021524,0.030698000000000003,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.003977,0.18255600000000002,0.18653300000000003,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.009481,0.16248300000000002,0.171964,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.0071719999999999996,0.180634,0.187806,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.006873000000000001,0.075099,0.081972,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.009862,0.5635,0.573362,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.010121999999999999,1.083882,1.094004,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.013242,0.50194,0.515182,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.011284,0.48773500000000003,0.49901900000000005,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.011955,1.656881,1.668836,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.9,success,3.0,0.5,0.25,0.32,0.6,2.9,3.5,1.1,12000,2000,10.0,4.0,1.2
