query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.003885,0.440689,0.444574,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.004001,0.25191,0.255911,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.005045,1.813752,1.818797,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.009648,0.063094,0.072742,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.009121,0.020701,0.029822,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.009049,0.17832900000000002,0.18737800000000002,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.009403,0.162968,0.172371,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.009968999999999999,0.16747499999999998,0.177444,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010705,0.076595,0.08729999999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.009878999999999999,0.5631889999999999,0.5730679999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.013269999999999999,1.0649179999999998,1.0781879999999997,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.007258,0.511487,0.518745,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.013142,0.49350299999999997,0.506645,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.012277,1.664535,1.6768120000000002,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.009248,0.36631400000000003,0.375562,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.008308,0.145357,0.153665,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.008179,0.6549640000000001,0.6631430000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.016391,0.26302800000000004,0.27941900000000003,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.016451,0.026283,0.042734,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.017053000000000002,0.49500599999999995,0.5120589999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.015543,0.561162,0.576705,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.009717,0.217441,0.227158,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.009606,19.620689,19.630295,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.009914,1.6070280000000001,1.616942,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.010671,1.279104,1.2897750000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.006221,10.699926,10.706147,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.0061070000000000004,9.024243,9.03035,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.005548,8.387199,8.392747,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.004568,8.577487,8.582055,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.003298,11.327082,11.33038,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.004646,10.973689,10.978335,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.003981,4.4903509999999995,4.494331999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.003929,0.178852,0.182781,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.003994,5.631615,5.635609,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.021092,0.20158600000000002,0.22267800000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.02016,0.092561,0.112721,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.027942,1.475042,1.5029839999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.023306,4.893573999999999,4.916879999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.001932,0.084008,0.08594,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.001489,0.07826999999999999,0.079759,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1c.sql,0.0017050000000000001,0.07991899999999999,0.08162399999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1d.sql,0.001468,0.07180299999999999,0.07327099999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20a.sql,0.016953,3.4192,3.436153,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20b.sql,0.015955999999999998,2.582034,2.5979900000000002,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20c.sql,0.017778,1.3882889999999999,1.406067,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21a.sql,0.016809,0.07213800000000001,0.08894700000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21b.sql,0.018775,0.041523000000000004,0.060298000000000004,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21c.sql,0.016294,0.045363999999999995,0.06165799999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22a.sql,0.034318,0.442472,0.47679,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22b.sql,0.028354,0.320361,0.348715,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22c.sql,0.028190999999999997,1.416422,1.4446130000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22d.sql,0.039895,0.8714529999999999,0.9113479999999999,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23a.sql,0.033553,0.221762,0.25531499999999996,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23b.sql,0.032023,0.034845999999999995,0.066869,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23c.sql,0.032081000000000005,0.331931,0.364012,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24a.sql,0.083669,0.469724,0.553393,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24b.sql,0.07027,0.190486,0.260756,1,tee_cardinality_estimation.sev_io_inflation_alpha,4.0,success,4.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
