query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008697,0.442191,0.450888,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10b.sql,0.0076760000000000005,0.258425,0.26610100000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10c.sql,0.008874,1.973,1.9818740000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11a.sql,0.010919,0.067381,0.0783,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11b.sql,0.010374000000000001,0.023857,0.034231,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11c.sql,0.012341,0.15482400000000002,0.167165,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11d.sql,0.015224999999999999,0.138869,0.15409399999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12a.sql,0.007027,0.17057,0.177597,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12b.sql,0.012917,0.075173,0.08809,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12c.sql,0.013198,0.575681,0.588879,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13a.sql,0.018855,1.063118,1.081973,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13b.sql,0.017691,0.5146839999999999,0.5323749999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13c.sql,0.017764,0.510618,0.528382,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13d.sql,0.018981,1.526953,1.545934,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14a.sql,0.012257,0.360703,0.37296,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14b.sql,0.012618,0.142988,0.155606,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14c.sql,0.010261,0.687188,0.697449,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15a.sql,0.019951,0.25669400000000003,0.27664500000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15b.sql,0.021979,0.026131,0.04811,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15c.sql,0.021707,0.501775,0.523482,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15d.sql,0.022569,0.464026,0.486595,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16a.sql,0.015117,0.20526499999999998,0.22038199999999997,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16b.sql,0.01675,19.124802,19.141551999999997,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16c.sql,0.014555,1.562639,1.577194,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16d.sql,0.014925,1.253004,1.267929,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17a.sql,0.006912,10.546191,10.553103,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17b.sql,0.010322,9.131317,9.141639,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17c.sql,0.009698,8.999637,9.009335,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17d.sql,0.00745,9.078565000000001,9.086015000000002,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17e.sql,0.0099,11.236022,11.245922,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17f.sql,0.010227,11.34956,11.359787,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
