query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008388999999999999,0.433435,0.441824,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.00796,0.266357,0.27431700000000003,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.006914,1.960658,1.967572,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.007158,0.06136,0.068518,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.010316,0.022853000000000002,0.033169000000000004,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.011579,0.17693799999999998,0.188517,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.015304,0.164868,0.180172,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012967000000000001,0.16755899999999999,0.180526,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.013295999999999999,0.078496,0.091792,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.014181,0.5749930000000001,0.5891740000000001,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.018648,1.066527,1.085175,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.019947,0.528196,0.548143,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.019475000000000003,0.505362,0.524837,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.018422,1.531258,1.54968,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.012409,0.36256,0.374969,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.012993000000000001,0.14208600000000002,0.15507900000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.013022,0.6750430000000001,0.688065,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.01589,0.264896,0.28078600000000004,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.022727,0.027379999999999998,0.050107,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.023892,0.490135,0.514027,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.020623000000000002,0.484487,0.50511,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.014737,0.21197300000000002,0.22671000000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.016030000000000003,19.361313,19.377343,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.01529,1.592983,1.608273,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.016199,1.283536,1.299735,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.010936999999999999,10.633473,10.64441,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.011715,9.255306000000001,9.267021000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.011491,8.942711,8.954201999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.0077339999999999996,8.805877,8.813611,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.009221,11.185243,11.194464,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.010641,11.333260000000001,11.343901,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.009676,4.413341999999999,4.423017999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.0063360000000000005,0.17892,0.185256,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.00808,5.836803,5.844882999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.040996000000000005,0.214355,0.255351,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.033972999999999996,0.095683,0.129656,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.041427,1.151875,1.193302,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.046854,5.227982,5.274836,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.0011439999999999998,0.079138,0.080282,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.001253,0.07228100000000001,0.07353400000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
1c.sql,0.00126,0.082217,0.083477,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
1d.sql,0.00106,0.074699,0.075759,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
20a.sql,0.028671,3.297138,3.325809,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
20b.sql,0.026013,2.347542,2.3735549999999996,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
20c.sql,0.032838,1.2701600000000002,1.302998,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
21a.sql,0.020689,0.058403,0.079092,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
21b.sql,0.020869,0.038479,0.059348,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
21c.sql,0.020765000000000002,0.040337000000000005,0.061102000000000004,1,tee_cardinality_estimation.sev_max_join_rows_factor,3.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.0,1.1,12000,2000,10.0,4.0,1.2
