query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.007562999999999999,0.443346,0.450909,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
10b.sql,0.006896,0.24849600000000002,0.255392,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
10c.sql,0.004552,1.9897449999999999,1.9942969999999998,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
11a.sql,0.012064,0.05863,0.070694,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
11b.sql,0.014098000000000001,0.022026,0.036124,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
11c.sql,0.013292,0.186981,0.200273,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
11d.sql,0.013397000000000001,0.165845,0.17924199999999998,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
12a.sql,0.013779999999999999,0.163306,0.177086,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
12b.sql,0.013463,0.08079900000000001,0.09426200000000001,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
12c.sql,0.012719,0.578704,0.591423,1,tee_cardinality_estimation.sev_max_width_factor,2.0,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,2.0,1.2
