query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.009411,0.455254,0.464665,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.010078,0.253413,0.263491,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.01019,1.935346,1.945536,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.009067,0.058463,0.06753,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.013529999999999999,0.021459,0.034989,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.013419,0.189488,0.202907,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.015795,0.174875,0.19067,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012412000000000001,0.16131800000000002,0.17373000000000002,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.013782,0.08828799999999999,0.10207,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.013938,0.531312,0.54525,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.013348,1.053342,1.06669,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.017113,0.511459,0.528572,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.01786,0.498095,0.515955,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.017267,1.4995640000000001,1.516831,1,tee_cardinality_estimation.sev_cache_size_scale,0.4,success,3.0,0.4,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
