query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.005045,0.43893400000000005,0.44397900000000007,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.009949999999999999,0.257739,0.267689,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.009210000000000001,1.926774,1.935984,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.012619,0.056987,0.069606,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.010291,0.0207,0.030990999999999998,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.011682,0.173646,0.185328,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.008574,0.161343,0.16991699999999998,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.012374000000000001,0.168931,0.181305,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010996,0.070897,0.08189300000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.012846999999999999,0.581797,0.5946440000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.019438,1.078132,1.0975700000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.01467,0.504632,0.5193019999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.018811,0.508304,0.527115,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.020169,1.523572,1.543741,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.013418,0.37303699999999995,0.38645499999999994,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.010961,0.14100200000000002,0.15196300000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.013313,0.693255,0.706568,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.019760000000000003,0.278567,0.298327,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.019655000000000002,0.02721,0.046865000000000004,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.023154,0.49588600000000005,0.5190400000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.024784,0.465933,0.49071699999999996,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.020289,0.21119300000000002,0.23148200000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.016249,19.547528,19.563776999999998,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.011287,1.5863889999999998,1.5976759999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.016239999999999997,1.269161,1.285401,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17a.sql,0.011456,10.456087,10.467543000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17b.sql,0.008058,9.101141,9.109199,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17c.sql,0.011141,8.855875,8.867016,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17d.sql,0.009771,8.951345,8.961116,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17e.sql,0.009971,11.494886000000001,11.504857000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
17f.sql,0.012064,11.239866,11.25193,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18a.sql,0.009640000000000001,4.418175,4.427815,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18b.sql,0.008194000000000002,0.170089,0.178283,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
18c.sql,0.010263999999999999,5.850819,5.861083000000001,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19a.sql,0.041592,0.208488,0.25008,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19b.sql,0.034526,0.09639400000000001,0.13092,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19c.sql,0.041911000000000004,1.174418,1.216329,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
19d.sql,0.045475,5.487101,5.532576,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1a.sql,0.002341,0.07845,0.080791,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1b.sql,0.001107,0.077508,0.07861499999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1c.sql,0.001242,0.075412,0.076654,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
1d.sql,0.001032,0.075499,0.076531,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20a.sql,0.030042000000000003,3.398131,3.4281729999999997,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20b.sql,0.026851,2.359346,2.386197,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
20c.sql,0.035019,1.254871,1.28989,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21a.sql,0.020249,0.059713999999999996,0.07996299999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21b.sql,0.020918,0.038165,0.059083,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
21c.sql,0.020336,0.039326,0.059662,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22a.sql,0.070362,0.467127,0.537489,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22b.sql,0.07123600000000001,0.336566,0.407802,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22c.sql,0.07215200000000001,0.860707,0.932859,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
22d.sql,0.058989,0.9191900000000001,0.978179,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23a.sql,0.059336,0.295468,0.354804,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23b.sql,0.058817999999999995,0.032161999999999996,0.09097999999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
23c.sql,0.054603,0.376228,0.430831,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24a.sql,0.14959999999999998,0.29390499999999997,0.4435049999999999,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
24b.sql,0.16456700000000002,0.036722000000000005,0.20128900000000002,1,tee_cardinality_estimation.sev_spill_grace_ratio,0.4,success,3.0,0.5,0.4,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
