query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.008116,0.45496499999999995,0.46308099999999996,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
10b.sql,0.009500999999999999,0.251502,0.261003,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
10c.sql,0.009949,1.9407940000000001,1.9507430000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
11a.sql,0.012776999999999998,0.058511,0.071288,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
11b.sql,0.013323999999999999,0.021969000000000002,0.035293000000000005,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
11c.sql,0.013669,0.18966,0.20332899999999998,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
11d.sql,0.013367,0.15386000000000002,0.16722700000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
12a.sql,0.011904,0.171809,0.183713,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
12b.sql,0.013921,0.082953,0.096874,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
12c.sql,0.012538,0.570339,0.5828770000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
13a.sql,0.017907,1.076405,1.094312,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
13b.sql,0.01991,0.5184679999999999,0.5383779999999999,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
13c.sql,0.018168,0.504658,0.522826,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
13d.sql,0.018893999999999998,1.554898,1.5737919999999999,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
14a.sql,0.012898999999999999,0.36439299999999997,0.37729199999999996,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
14b.sql,0.011941,0.14310900000000001,0.15505000000000002,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
14c.sql,0.014281,0.6854819999999999,0.6997629999999999,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
15a.sql,0.021215,0.273675,0.29489,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
15b.sql,0.022533,0.027429,0.049962,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
15c.sql,0.024485,0.506367,0.530852,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
15d.sql,0.017579,0.467837,0.485416,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
16a.sql,0.014621,0.21226699999999998,0.22688799999999998,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
16b.sql,0.017587,19.44428,19.461866999999998,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
16c.sql,0.016370000000000003,1.601923,1.618293,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
16d.sql,0.016898,1.260742,1.27764,1,tee_cardinality_estimation.sev_small_table_threshold_pages,3000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,3000,10.0,4.0,1.2
