query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.004632,0.448593,0.45322500000000004,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.010145,0.257399,0.267544,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.010837,1.672346,1.683183,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.01239,0.057146,0.069536,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.012273999999999998,0.02176,0.034034,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.013710000000000002,0.16933099999999998,0.18304099999999998,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.014933,0.148642,0.163575,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.013436,0.17704,0.190476,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.013412,0.072619,0.086031,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.012647,0.567545,0.5801919999999999,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.018154,1.0730309999999998,1.0911849999999998,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
