query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.0033439999999999998,0.427149,0.430493,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10b.sql,0.004553,0.253602,0.25815499999999997,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
10c.sql,0.005416000000000001,1.772912,1.7783280000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11a.sql,0.007235,0.046155999999999996,0.053390999999999994,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11b.sql,0.006859,0.027787,0.034645999999999996,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11c.sql,0.009021000000000001,0.583298,0.592319,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
11d.sql,0.009696,0.151513,0.16120900000000002,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12a.sql,0.0077670000000000005,0.16136699999999998,0.16913399999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12b.sql,0.008297,0.09020099999999999,0.09849799999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
12c.sql,0.007333999999999999,0.5696,0.576934,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13a.sql,0.012421,1.280661,1.293082,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13b.sql,0.0141,0.590324,0.604424,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13c.sql,0.011409,0.544408,0.555817,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
13d.sql,0.012392,1.961406,1.973798,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14a.sql,0.009718,0.334685,0.344403,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14b.sql,0.006046,0.554582,0.560628,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
14c.sql,0.006575999999999999,0.6399900000000001,0.6465660000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15a.sql,0.017834,0.244832,0.262666,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15b.sql,0.015368999999999999,0.030345,0.045714,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15c.sql,0.017045,0.69033,0.707375,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
15d.sql,0.016354,0.699409,0.7157629999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16a.sql,0.008905,0.422702,0.431607,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16b.sql,0.00861,11.385415,11.394025,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16c.sql,0.008267,1.086534,1.0948010000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
16d.sql,0.009554,0.8837889999999999,0.8933429999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17a.sql,0.00357,9.108108,9.111678,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17b.sql,0.006625,8.047963,8.054587999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17c.sql,0.005403,8.168823,8.174225999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17d.sql,0.00424,8.086495,8.090734999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17e.sql,0.00566,7.766311,7.771971,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
17f.sql,0.004961999999999999,9.236374,9.241336,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18a.sql,0.004385,4.527934,4.532319,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18b.sql,0.006410999999999999,0.184083,0.190494,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
18c.sql,0.006176,5.481215,5.487391,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19a.sql,0.018724,0.221622,0.240346,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19b.sql,0.020331,0.092816,0.113147,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19c.sql,0.025672999999999998,1.168395,1.1940680000000001,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
19d.sql,0.024243999999999998,2.626388,2.650632,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1a.sql,0.0022,0.08218600000000001,0.084386,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1b.sql,0.001108,0.07562,0.076728,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1c.sql,0.0010329999999999998,0.082726,0.083759,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
1d.sql,0.001118,0.07335299999999999,0.07447099999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20a.sql,0.012159000000000001,5.176457999999999,5.188616999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20b.sql,0.0165,1.427962,1.444462,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
20c.sql,0.018061,1.656167,1.674228,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21a.sql,0.016878,0.043997,0.060875,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21b.sql,0.022068,0.026387,0.048455,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
21c.sql,0.011201000000000001,0.030907,0.042108,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22a.sql,0.033793,0.347116,0.380909,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22b.sql,0.035264000000000004,0.28366399999999997,0.318928,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22c.sql,0.032279,0.539573,0.571852,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
22d.sql,0.038246,0.802825,0.841071,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23a.sql,0.032406,0.269889,0.302295,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23b.sql,0.033745,0.038043999999999994,0.07178899999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
23c.sql,0.033544,0.318425,0.35196900000000003,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
24a.sql,0.09325,0.183796,0.277046,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
24b.sql,0.074902,0.056433,0.13133499999999998,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25a.sql,0.014728999999999999,4.228262,4.242991,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25b.sql,0.015567000000000001,3.96619,3.981757,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
25c.sql,0.01566,4.107457999999999,4.123117999999999,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
26a.sql,0.057559,0.89693,0.954489,1,tee_cardinality_estimation.sev_join_skip_rows,8000,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,8000,2000,10.0,4.0,1.2
