query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.004429000000000001,0.446996,0.451425,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
10b.sql,0.005407,0.245748,0.251155,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
10c.sql,0.005378,1.745504,1.750882,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
11a.sql,0.0045910000000000005,0.047875,0.052466,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
11b.sql,0.006589,0.028814,0.035403,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
11c.sql,0.006041,0.5879679999999999,0.5940089999999999,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
11d.sql,0.008371,0.13922800000000002,0.147599,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
12a.sql,0.007567999999999999,0.147654,0.155222,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
12b.sql,0.010858000000000001,0.087119,0.09797700000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
12c.sql,0.010673,0.6060030000000001,0.6166760000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
13a.sql,0.013803000000000001,1.259164,1.272967,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
13b.sql,0.013961,0.584233,0.598194,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
13c.sql,0.014338,0.5656180000000001,0.579956,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
13d.sql,0.012563000000000001,1.976625,1.9891880000000002,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
14a.sql,0.009722,0.344489,0.354211,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
14b.sql,0.008889,0.549961,0.5588500000000001,1,tee_cardinality_estimation.sev_small_table_threshold_pages,1500,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,1500,10.0,4.0,1.2
