query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.003457,0.41186700000000004,0.415324,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
10b.sql,0.005671000000000001,0.252397,0.25806799999999996,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
10c.sql,0.005371000000000001,1.737664,1.7430350000000001,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
11a.sql,0.010471999999999999,0.045749000000000005,0.05622100000000001,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
11b.sql,0.0066500000000000005,0.028824000000000002,0.035474000000000006,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
11c.sql,0.005884,0.584935,0.590819,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
11d.sql,0.0073479999999999995,0.132299,0.139647,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
12a.sql,0.010917,0.16514099999999998,0.176058,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
12b.sql,0.008612999999999999,0.074344,0.08295699999999999,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
12c.sql,0.00624,0.583434,0.589674,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
13a.sql,0.013183,1.262958,1.276141,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
13b.sql,0.012832000000000001,0.562641,0.5754729999999999,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
13c.sql,0.012195000000000001,0.559824,0.5720189999999999,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
13d.sql,0.014231,1.987346,2.001577,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
14a.sql,0.0059640000000000006,0.351359,0.357323,1,tee_cardinality_estimation.sev_width_exponent,1.3,success,3.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.3
