query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.005024,0.43280599999999997,0.43782999999999994,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.005479,0.25564,0.261119,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.003975,1.7657070000000001,1.7696820000000002,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.0072759999999999995,0.052777000000000004,0.060053,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.004261,0.026968,0.031229,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.0077859999999999995,0.583207,0.590993,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.006956,0.153606,0.16056199999999998,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.007030000000000001,0.16488999999999998,0.17192,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010964999999999999,0.075894,0.086859,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.008738,0.597752,0.60649,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.014536,1.2392159999999999,1.253752,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.014237,0.575462,0.589699,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.010747,0.561052,0.571799,1,tee_cardinality_estimation.sev_max_join_rows_factor,4.5,success,3.0,0.5,0.25,0.32,0.6,2.7,4.5,1.1,12000,2000,10.0,4.0,1.2
