query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.005022,0.442046,0.447068,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.005476,0.251291,0.25676699999999997,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.0053289999999999995,1.7357960000000001,1.741125,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.009947,0.045825000000000005,0.055772,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.00968,0.025667000000000002,0.035347,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.009701000000000001,0.585142,0.594843,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.009828,0.153985,0.16381300000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.008119,0.166289,0.17440799999999998,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.011378000000000001,0.072362,0.08374,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.009762999999999999,0.60189,0.611653,1,tee_cardinality_estimation.sev_io_inflation_alpha,2.0,success,2.0,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
