query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.0034089999999999997,0.44183300000000003,0.445242,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.004046999999999999,0.261363,0.26541000000000003,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.004325,1.750739,1.755064,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.0060739999999999995,0.052565,0.058639,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.008385,0.028145,0.03653,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.004157,0.579702,0.583859,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.006965,0.127399,0.134364,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.0064930000000000005,0.16501,0.171503,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010977,0.08948,0.100457,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.010125,0.601001,0.6111260000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.013309,1.241305,1.2546140000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.013561,0.53871,0.5522710000000001,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.014765,0.545117,0.559882,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.013786,1.9385530000000002,1.9523390000000003,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.009422,0.352203,0.361625,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.008808,0.551114,0.559922,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.009723,0.638672,0.648395,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.017941,0.257947,0.27588799999999997,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.016891,0.029148,0.046039,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.01786,0.704444,0.722304,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.023111,0.699466,0.722577,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.01047,0.421851,0.43232099999999996,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.010958,11.737516,11.748474,1,tee_cardinality_estimation.sev_io_inflation_alpha,3.5,success,3.5,0.5,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
