query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.003554,0.438013,0.441567,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.003605,0.257397,0.261002,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.004027,1.784735,1.788762,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.008585,0.049529000000000004,0.058114000000000006,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.004224,0.02732,0.031544,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.006739,0.5930650000000001,0.5998040000000001,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.010185000000000001,0.14568199999999998,0.15586699999999998,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.010757999999999998,0.16408799999999998,0.17484599999999997,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.010595,0.07528499999999999,0.08587999999999998,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.009339,0.5641309999999999,0.5734699999999999,1,tee_cardinality_estimation.sev_cache_size_scale,0.6,success,3.0,0.6,0.25,0.32,0.6,2.7,3.5,1.1,12000,2000,10.0,4.0,1.2
