query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,sev_io_inflation_alpha,sev_cache_size_scale,sev_spill_grace_ratio,sev_join_spill_beta,sev_join_fanout_beta,sev_join_fanout_threshold,sev_max_join_rows_factor,sev_join_rows_cap,sev_join_skip_rows,sev_small_table_threshold_pages,sev_max_pages_factor,sev_max_width_factor,sev_width_exponent
10a.sql,0.004974,0.437003,0.44197699999999995,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
10b.sql,0.005412,0.253996,0.25940799999999997,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
10c.sql,0.005441,1.742844,1.748285,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
11a.sql,0.01072,0.049213,0.059933,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
11b.sql,0.009786,0.026465,0.036251,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
11c.sql,0.009898,0.585259,0.5951569999999999,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
11d.sql,0.007062000000000001,0.147258,0.15432,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
12a.sql,0.011026,0.160693,0.171719,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
12b.sql,0.011314,0.073262,0.084576,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
12c.sql,0.010834,0.599144,0.609978,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
13a.sql,0.012942,1.259462,1.272404,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
13b.sql,0.013633,0.5761839999999999,0.5898169999999999,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
13c.sql,0.014041,0.569009,0.58305,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
13d.sql,0.007654,1.95858,1.966234,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
14a.sql,0.009883,0.348027,0.35790999999999995,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
14b.sql,0.008653000000000001,0.541123,0.549776,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
14c.sql,0.009667,0.6232920000000001,0.632959,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
15a.sql,0.014523,0.253926,0.268449,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
15b.sql,0.014969,0.030437000000000002,0.045406,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
15c.sql,0.015972,0.684689,0.700661,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
15d.sql,0.014535,0.6918500000000001,0.706385,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
16a.sql,0.008314,0.429262,0.43757599999999996,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
16b.sql,0.009355,11.701644,11.710999,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
16c.sql,0.010273999999999998,1.074597,1.084871,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
16d.sql,0.010910999999999999,0.910252,0.921163,1,tee_cardinality_estimation.sev_join_fanout_threshold,2.6,success,3.0,0.5,0.25,0.32,0.6,2.6,3.5,1.1,12000,2000,10.0,4.0,1.2
