query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
10a.sql,0.43503800000000004,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.44943,0.43503800000000004,0.43842,0.444979
10b.sql,0.24584699999999998,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.261216,0.24584699999999998,0.255283,0.267342
10c.sql,1.676361,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.676361,1.780311,1.9663270000000002,1.944987
11a.sql,0.055709999999999996,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.171585,0.056919000000000004,0.177962,0.055709999999999996
11b.sql,0.03672,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.120452,0.03672,0.12606599999999998,0.037240999999999996
11c.sql,0.07741100000000001,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.07741100000000001,0.6289140000000001,0.08022800000000001,0.6065250000000001
11d.sql,0.141625,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.15241000000000002,0.150693,0.170383,0.141625
12a.sql,0.159971,cm_ce,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.187148,0.159971,0.176126,0.179838
12b.sql,0.08402,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.096673,0.084461,0.08402,0.084095
12c.sql,0.5683779999999999,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.6138999999999999,0.6224940000000001,0.5683779999999999,0.5783420000000001
13a.sql,1.1990060000000002,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.2250990000000002,1.317644,1.1990060000000002,1.297622
13b.sql,0.592371,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.607884,0.6025990000000001,0.592371,0.606343
13c.sql,0.579078,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.579078,0.593275,0.5874179999999999,0.590703
13d.sql,1.8190240000000002,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.84385,2.042101,1.8190240000000002,2.0417899999999998
14a.sql,0.35614399999999996,cm,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,1.200639,0.359962,1.187138,0.35614399999999996
14b.sql,0.18645,all_three,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.18645,0.5456120000000001,0.187346,0.569297
14c.sql,0.637597,cm_jn,success,tee_cost_model.gather_overhead_pct,0.12,0.08,0.06,0.12,0.12,0.6503570000000001,0.657869,0.637597,0.6501319999999999
