query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
10a.sql,0.004382,0.432448,0.43683,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
10b.sql,0.010731,0.24593500000000001,0.256666,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
10c.sql,0.010869,1.650261,1.66113,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
11a.sql,0.007804,0.166846,0.17465,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
11b.sql,0.012999,0.11175700000000001,0.124756,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
11c.sql,0.013792,0.057249,0.071041,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
11d.sql,0.015476,0.13887799999999997,0.15435399999999996,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
12a.sql,0.012681,0.161988,0.174669,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
12b.sql,0.013515000000000001,0.076114,0.089629,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
12c.sql,0.01319,0.589251,0.602441,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
13a.sql,0.019012,1.231569,1.250581,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
13b.sql,0.018742,0.590207,0.6089490000000001,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
13c.sql,0.018212,0.557493,0.575705,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
13d.sql,0.020574000000000002,1.811454,1.832028,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
14a.sql,0.013903,1.1750260000000001,1.1889290000000001,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
14b.sql,0.011895,0.170747,0.182642,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
14c.sql,0.012618,0.620244,0.632862,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
15a.sql,0.023399999999999997,0.257211,0.280611,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
15b.sql,0.023882,0.028262,0.052143999999999996,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
15c.sql,0.024559,0.70198,0.726539,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
15d.sql,0.023262,0.695408,0.71867,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
16a.sql,0.010694,0.23622900000000002,0.24692300000000003,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
16b.sql,0.011349,11.719424,11.730773,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
16c.sql,0.017608000000000002,1.088592,1.1062,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
16d.sql,0.017963999999999997,0.881842,0.899806,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17a.sql,0.010648999999999999,8.861513,8.872162000000001,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17b.sql,0.009723,8.043122,8.052845,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17c.sql,0.010938,7.728803,7.739741,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17d.sql,0.009172000000000001,7.775233,7.7844050000000005,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17e.sql,0.010417999999999998,7.982767,7.9931849999999995,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
17f.sql,0.012021,9.483214,9.495235000000001,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
18a.sql,0.01045,4.240197,4.250647,1,tee_cost_model.io_overhead_pct,0.1,success,0.1,0.06,0.1,0.12
