query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
10a.sql,0.005311,0.48528,0.490591,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
10b.sql,0.005072,0.24831,0.253382,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
10c.sql,0.003499,1.971974,1.9754729999999998,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11a.sql,0.007872,0.047802,0.055674,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11b.sql,0.007895,0.027106,0.035001000000000004,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11c.sql,0.009588,0.603572,0.61316,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11d.sql,0.008923,0.155893,0.16481600000000002,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12a.sql,0.009691,0.16511699999999999,0.174808,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12b.sql,0.00827,0.076696,0.084966,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12c.sql,0.0099,0.581369,0.591269,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13a.sql,0.010752000000000001,1.310212,1.320964,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13b.sql,0.017231000000000003,0.591155,0.608386,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13c.sql,0.016350999999999997,0.560485,0.576836,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13d.sql,0.010815,1.99253,2.003345,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14a.sql,0.009498,0.361813,0.371311,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14b.sql,0.008369999999999999,0.556139,0.564509,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14c.sql,0.009265,0.64413,0.653395,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15a.sql,0.011802,0.264651,0.276453,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15b.sql,0.015056,0.030373,0.045429,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15c.sql,0.018258,0.724128,0.742386,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15d.sql,0.015901,0.711941,0.7278420000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
16a.sql,0.01075,0.430913,0.441663,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
16b.sql,0.011169,11.928929,11.940098,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
16c.sql,0.01112,1.1617460000000002,1.1728660000000002,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
16d.sql,0.011509,0.9516140000000001,0.9631230000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17a.sql,0.006314,7.286245,7.292559,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17b.sql,0.005995,8.095145,8.101140000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17c.sql,0.005939,7.964111,7.97005,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17d.sql,0.004714,8.004202,8.008916,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17e.sql,0.005822,7.603953000000001,7.609775000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
17f.sql,0.005961999999999999,9.054283999999999,9.060246,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
18a.sql,0.005959,4.647305,4.653264,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
18b.sql,0.005966,0.175058,0.181024,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
18c.sql,0.005822,5.7003829999999995,5.706205,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
19a.sql,0.023283,0.208707,0.23199,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
19b.sql,0.01511,0.09300499999999999,0.10811499999999999,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
19c.sql,0.028766,1.216169,1.2449350000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
19d.sql,0.025589999999999998,2.8258989999999997,2.8514889999999995,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
1a.sql,0.001853,0.07819,0.08004299999999999,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
1b.sql,0.001393,0.076757,0.07815000000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
1c.sql,0.0015840000000000001,0.08748099999999999,0.08906499999999999,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
1d.sql,0.000795,0.073457,0.074252,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
20a.sql,0.017963,5.2679849999999995,5.285947999999999,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
20b.sql,0.016969,1.4560719999999998,1.4730409999999998,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
20c.sql,0.018571999999999998,1.6722650000000001,1.6908370000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
