query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
10a.sql,0.004856,0.433502,0.438358,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
10b.sql,0.004954,0.258033,0.262987,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
10c.sql,0.00332,1.753031,1.756351,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
11a.sql,0.009717,0.055331000000000005,0.06504800000000001,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
11b.sql,0.009211,0.027071,0.036282,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
11c.sql,0.009278,0.585195,0.594473,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
11d.sql,0.009404,0.127655,0.137059,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
12a.sql,0.009657,0.163375,0.173032,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
12b.sql,0.009441000000000001,0.07633,0.085771,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
12c.sql,0.010033,0.60645,0.616483,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
13a.sql,0.012941000000000001,1.282886,1.295827,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
13b.sql,0.009343,0.587534,0.596877,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
13c.sql,0.013428,0.574762,0.58819,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
13d.sql,0.013721,2.0237,2.0374209999999997,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
14a.sql,0.008683999999999999,0.352361,0.361045,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
14b.sql,0.007945,0.580645,0.58859,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
14c.sql,0.009255000000000001,0.641688,0.650943,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
15a.sql,0.016326,0.26220499999999997,0.278531,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
15b.sql,0.017631,0.029585999999999998,0.047216999999999995,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
15c.sql,0.015535,0.7019310000000001,0.717466,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
15d.sql,0.017013,0.715279,0.7322919999999999,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
16a.sql,0.011526,0.416301,0.42782699999999996,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
16b.sql,0.011442,11.891613999999999,11.903056,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
16c.sql,0.01077,1.075116,1.085886,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
16d.sql,0.010237999999999999,0.915779,0.926017,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17a.sql,0.005863,9.18403,9.189893,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17b.sql,0.0051210000000000006,8.427366,8.432487,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17c.sql,0.006242,8.013066,8.019308,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17d.sql,0.006136,8.093386,8.099522,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17e.sql,0.005886,7.81876,7.824646,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
17f.sql,0.00635,9.476275,9.482624999999999,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
18a.sql,0.006004,4.610352,4.616356,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
18b.sql,0.005969,0.175249,0.181218,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
18c.sql,0.005878,5.717236,5.723114,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
19a.sql,0.024092,0.20694900000000002,0.23104100000000002,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
19b.sql,0.019863,0.09163800000000001,0.11150100000000002,1,tee_cost_model.io_overhead_pct,0.06,success,0.06,0.06,0.1,0.12
