query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
10a.sql,0.008718,0.481443,0.490161,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
10b.sql,0.0048200000000000005,0.245893,0.250713,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
10c.sql,0.008919999999999999,1.98479,1.99371,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11a.sql,0.012769,0.170746,0.183515,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11b.sql,0.014048999999999999,0.113483,0.127532,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11c.sql,0.011979,0.063129,0.07510800000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
11d.sql,0.013908,0.15290299999999998,0.166811,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12a.sql,0.012125,0.16474100000000003,0.17686600000000002,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12b.sql,0.016177,0.074472,0.090649,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
12c.sql,0.014574,0.581125,0.595699,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13a.sql,0.025366,1.283873,1.309239,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13b.sql,0.015712999999999998,0.5988640000000001,0.614577,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13c.sql,0.018928,0.581689,0.600617,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
13d.sql,0.022763000000000002,1.8224760000000002,1.8452390000000003,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14a.sql,0.011957,1.216799,1.228756,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14b.sql,0.0069240000000000005,0.173893,0.180817,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
14c.sql,0.014028,0.630417,0.644445,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15a.sql,0.017397,0.269493,0.28689,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15b.sql,0.02277,0.02779,0.050559999999999994,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15c.sql,0.025269,0.47537999999999997,0.500649,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
15d.sql,0.024891,0.7085410000000001,0.7334320000000001,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
16a.sql,0.015003,0.246421,0.261424,1,tee_cost_model.io_overhead_pct,0.04,success,0.04,0.06,0.1,0.12
