query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct,total_time_all_three,total_time_cm_ce,total_time_cm_jn,total_time_cm
q1-001.sql,0.013631999999999998,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.018537,0.013631999999999998,0.019215999999999997,0.017165
q1-002.sql,0.016006,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.016006,0.021047,0.019465000000000003,0.017113
q1-003.sql,0.016856,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.016896,0.016856,0.017803000000000003,0.018574
q1-004.sql,0.018136999999999997,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.021032000000000002,0.018136999999999997,0.023098999999999998,0.021419
q1-005.sql,0.016940999999999998,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.020359000000000002,0.016940999999999998,0.022724,0.018763
q1-006.sql,0.016146,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.023236,0.016146,0.018858,0.018581
q1-007.sql,0.016452,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.02027,0.017325,0.016452,0.018397
q1-008.sql,0.016659,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.016659,0.018165999999999998,0.018529,0.017737000000000003
q1-009.sql,0.016703,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.018157,0.017920000000000002,0.01791,0.016703
q1-010.sql,0.024968999999999998,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.026574,0.024968999999999998,0.032695,0.026244999999999997
q10-001.sql,0.209204,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.209204,0.31925899999999996,0.21398899999999998,0.325494
q10-002.sql,0.202421,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.202421,0.30655499999999997,0.209763,0.31343600000000005
q10-003.sql,0.184173,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.184173,0.283864,0.188501,0.293592
q10-004.sql,0.18295899999999998,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.18295899999999998,0.28609799999999996,0.188188,0.292767
q10-005.sql,0.181913,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.181913,0.29118099999999997,0.20151999999999998,0.286752
q10-006.sql,0.18396999999999997,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.18396999999999997,0.286746,0.201065,0.290347
q10-007.sql,0.249635,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.251738,0.34414700000000004,0.249635,0.33547000000000005
q10-008.sql,0.256449,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.25800100000000004,0.36288200000000004,0.256449,0.37195500000000004
q10-009.sql,0.18432199999999999,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.186146,0.287112,0.18432199999999999,0.297122
q10-010.sql,0.349654,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.357084,0.45807200000000003,0.349654,0.427551
q11-001.sql,1.514938,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.57642,1.52025,1.514938,1.525826
q11-002.sql,0.047869,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.05008699999999999,0.05512499999999999,0.049097,0.047869
q11-003.sql,0.062819,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.089198,0.076466,0.072816,0.062819
q11-004.sql,1.236124,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.2949279999999999,1.236124,1.280759,1.356861
q11-005.sql,0.046235,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.049336,0.047323000000000004,0.046235,0.061475
q11-006.sql,0.496548,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.501401,0.500391,0.5376789999999999,0.496548
q11-007.sql,0.21031600000000003,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.21031600000000003,0.234831,0.219946,0.21627
q11-008.sql,0.139287,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.139287,0.150849,0.13986300000000002,0.156121
q11-009.sql,0.07292,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.092705,0.07292,0.08654,0.075853
q11-010.sql,0.217079,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.22903400000000002,0.217079,0.254575,0.221672
q12-001.sql,0.108689,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.1921519999999999,0.8041619999999999,1.17044,0.108689
q12-002.sql,0.097601,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.432164,0.43272,0.107018,0.097601
q12-003.sql,0.10468699999999999,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.637961,0.6463180000000001,0.12787600000000002,0.10468699999999999
q12-004.sql,0.6342249999999999,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.784009,2.171898,0.753555,0.6342249999999999
q12-005.sql,0.041807000000000004,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.095834,0.116274,0.041807000000000004,0.054640999999999995
q12-006.sql,0.9640420000000001,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,3.471733,3.3470030000000004,1.019816,0.9640420000000001
q12-007.sql,0.269596,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.390552,0.343295,0.326213,0.269596
q12-008.sql,0.481982,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.017179,0.865508,0.51674,0.481982
q12-009.sql,0.08343,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.166932,0.251378,0.9843909999999999,0.08343
q12-010.sql,7.335287999999999,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,10.508835,10.003670000000001,7.335287999999999,7.8011610000000005
q13-001.sql,0.237591,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.941894,0.259765,0.872156,0.237591
q13-002.sql,0.26690600000000003,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,7.560059000000001,0.26690600000000003,7.548884,0.282995
q13-003.sql,0.382472,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,9.502898,0.408791,9.424378,0.382472
q13-004.sql,0.861581,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,52.991746000000006,0.88605,53.078936000000006,0.861581
q13-005.sql,0.8514660000000001,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,0.8514660000000001,60.0,0.902949
q13-006.sql,0.343908,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,33.480526999999995,0.343908,33.831428,0.354404
q13-007.sql,0.18749300000000002,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,2.6230330000000004,0.198877,1.885227,0.18749300000000002
q13-008.sql,0.179393,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,16.766478,0.182874,16.726633999999997,0.179393
q13-009.sql,0.254482,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,0.256106,22.229347,0.254482
q13-010.sql,0.23865599999999998,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.501288,0.240605,0.518035,0.23865599999999998
q14-001.sql,11.496967000000001,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,11.629135999999999,60.0,11.496967000000001
q14-002.sql,0.315976,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.7216629999999999,0.315976,0.731244,0.348764
q14-003.sql,1.267645,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,1.274721,60.0,1.267645
q14-004.sql,0.540458,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,4.254611000000001,0.540458,3.946656,0.548811
q14-005.sql,0.077435,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.6639630000000001,0.077435,0.6633910000000001,0.08146900000000001
q14-006.sql,0.21904400000000002,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,0.21904400000000002,60.0,0.222471
q14-007.sql,2.7153180000000003,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,2.7321850000000003,60.0,2.7153180000000003
q14-008.sql,0.08610300000000001,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.173998,0.087618,0.18753799999999998,0.08610300000000001
q14-009.sql,0.16743899999999998,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,6.963012999999999,0.16743899999999998,6.988137999999999,0.189226
q14-010.sql,4.105679,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,4.105679,60.0,4.213779
q15-001.sql,0.197687,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.8274549999999999,0.197687,1.005203,0.43528500000000003
q15-002.sql,0.60301,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.610851,0.613521,0.60301,0.650194
q15-003.sql,0.548832,cm_jn,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,3.164183,3.0985370000000003,0.548832,3.193713
q15-004.sql,0.119587,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.359731,0.119587,0.300451,0.14144099999999998
q15-005.sql,0.098023,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.098023,0.10251099999999999,0.18504299999999999,0.184654
q15-006.sql,0.139197,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.173245,0.139197,0.147739,0.162657
q15-007.sql,0.27928200000000003,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.320222,0.27928200000000003,0.35520599999999997,0.33651000000000003
q15-008.sql,0.18176099999999998,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.21102499999999996,0.18176099999999998,0.36127400000000004,0.407625
q15-009.sql,0.166397,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.200164,0.166397,0.877844,1.224829
q15-010.sql,0.058535000000000004,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.15887099999999998,0.058535000000000004,0.142091,0.114411
q16-001.sql,0.31191900000000006,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.331325,0.32040199999999996,0.329745,0.31191900000000006
q16-002.sql,0.29542100000000004,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.297976,0.29542100000000004,0.3311,0.309961
q16-003.sql,0.134048,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.148136,0.134048,0.574143,0.5932440000000001
q16-004.sql,1.173235,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,1.322413,1.173235,3.731234,3.666809
q16-005.sql,0.236763,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.24466000000000002,0.236763,0.28868699999999997,0.549307
q16-006.sql,0.093019,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.093019,0.094167,0.231913,0.236295
q16-007.sql,0.16257500000000003,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.16257500000000003,0.164395,0.350061,0.40405
q16-008.sql,0.216572,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.260702,0.216572,1.084967,1.080863
q16-009.sql,0.078163,all_three,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.078163,0.080915,0.205015,0.208392
q16-010.sql,0.077406,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,0.08318500000000001,0.077406,0.316532,0.463906
q2-001.sql,0.510729,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,0.510729,60.0,0.683499
q2-002.sql,0.538044,cm,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,60.0,0.553028,60.0,0.538044
q2-003.sql,0.333996,cm_ce,success,tee_cost_model.cpu_overhead_pct,0.12,0.08,0.12,0.1,0.12,2.217234,0.333996,60.0,0.382107
