query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
q1-001.sql,0.0022570000000000003,0.014653000000000001,0.01691,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-002.sql,0.001955,0.01577,0.017724999999999998,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-003.sql,0.0008139999999999999,0.012024,0.012838,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-004.sql,0.001082,0.019156,0.020238,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-005.sql,0.001111,0.017792000000000002,0.018903000000000003,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-006.sql,0.0019690000000000003,0.015929,0.017897999999999997,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-007.sql,0.001137,0.014629,0.015766,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-008.sql,0.0012749999999999999,0.016119,0.017394,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-009.sql,0.001277,0.016350999999999997,0.017627999999999998,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q1-010.sql,0.000905,0.038423,0.039328,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-001.sql,0.05665,0.146393,0.203043,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-002.sql,0.057256,0.150013,0.207269,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-003.sql,0.053322,0.134684,0.188006,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-004.sql,0.055604,0.127773,0.183377,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-005.sql,0.055670000000000004,0.135441,0.191111,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-006.sql,0.055036,0.12594,0.180976,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-007.sql,0.054595,0.187698,0.242293,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-008.sql,0.056174,0.201358,0.257532,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-009.sql,0.056172,0.13269399999999998,0.18886599999999998,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q10-010.sql,0.055813,0.29732600000000003,0.35313900000000004,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-001.sql,0.0015789999999999999,1.525896,1.527475,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-002.sql,0.002214,0.057184,0.059398,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-003.sql,0.00197,0.085052,0.087022,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-004.sql,0.0012,1.3522370000000001,1.3534370000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-005.sql,0.00127,0.051327,0.052597,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-006.sql,0.0012259999999999999,0.561387,0.5626129999999999,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-007.sql,0.0014550000000000001,0.20003,0.20148500000000003,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-008.sql,0.001335,0.136269,0.137604,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-009.sql,0.0013260000000000001,0.070577,0.071903,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q11-010.sql,0.001305,0.266298,0.267603,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-001.sql,0.012706,1.1471969999999998,1.159903,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-002.sql,0.011007,0.43891800000000003,0.449925,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-003.sql,0.012794,0.6503260000000001,0.66312,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-004.sql,0.01034,1.806294,1.816634,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-005.sql,0.011132999999999999,0.08797400000000001,0.09910700000000001,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-006.sql,0.010305,3.488543,3.4988479999999997,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-007.sql,0.008674,0.34674099999999997,0.355415,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-008.sql,0.010775999999999999,0.9901989999999999,1.000975,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-009.sql,0.010885,1.122,1.1328850000000001,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q12-010.sql,0.012216,10.455530000000001,10.467746000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-001.sql,0.052953,0.965472,1.018425,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-002.sql,0.047567,7.524565,7.572132,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-003.sql,0.051051,9.486718000000002,9.537769,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-004.sql,0.051406999999999994,51.514814,51.566221,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-005.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q13-006.sql,0.05622,33.63037,33.68659,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-007.sql,0.048850000000000005,2.545951,2.594801,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-008.sql,0.055825,16.68684,16.742665,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q13-009.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q13-010.sql,0.053207,0.430333,0.48354,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-001.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q14-002.sql,0.027319,0.732101,0.75942,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-003.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q14-004.sql,0.023974,4.2410190000000005,4.2649930000000005,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-005.sql,0.02546,0.628202,0.6536620000000001,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-006.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q14-007.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q14-008.sql,0.027106,0.14282,0.169926,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-009.sql,0.025103999999999998,6.966951,6.992055,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q14-010.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q15-001.sql,0.020409,0.8019149999999999,0.8223239999999999,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-002.sql,0.022050999999999998,0.575244,0.597295,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-003.sql,0.018300999999999998,3.078119,3.09642,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-004.sql,0.018201000000000002,0.24594300000000002,0.26414400000000005,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-005.sql,0.022914,0.076167,0.099081,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-006.sql,0.020579,0.158737,0.17931599999999998,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-007.sql,0.019431,0.285351,0.304782,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-008.sql,0.030238,0.186418,0.21665600000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-009.sql,0.019877,1.119249,1.1391259999999999,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q15-010.sql,0.019979,0.13645400000000002,0.15643300000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-001.sql,0.014301999999999999,0.308674,0.322976,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-002.sql,0.013493,0.271301,0.284794,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-003.sql,0.014678,0.129638,0.144316,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-004.sql,0.013871,1.2665799999999998,1.2804509999999998,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-005.sql,0.014153,0.237004,0.251157,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-006.sql,0.014662000000000001,0.079144,0.093806,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-007.sql,0.008119,0.159162,0.16728099999999999,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-008.sql,0.01367,0.250334,0.264004,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-009.sql,0.01478,0.077827,0.092607,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q16-010.sql,0.014213,0.063512,0.077725,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q2-001.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-002.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-003.sql,0.18758699999999998,2.029992,2.217579,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q2-004.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-005.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-006.sql,0.191038,1.6486310000000002,1.8396690000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q2-007.sql,0.190172,1.7142650000000001,1.9044370000000002,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q2-008.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-009.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q2-010.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-001.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-002.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-003.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-004.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-005.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-006.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-007.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-008.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-009.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q3-010.sql,0.0,60.0,60.0,1,tee_cost_model.cpu_overhead_pct,0.1,error,0.08,0.1,0.1,0.12
q4-001.sql,0.014168,0.12363800000000001,0.137806,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q4-002.sql,0.014775,0.165632,0.180407,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q4-003.sql,0.015342,0.16546799999999998,0.18080999999999997,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q4-004.sql,0.014528000000000001,0.049482,0.06401,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q4-005.sql,0.01276,0.11268399999999999,0.125444,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
q4-006.sql,0.013557,0.10640999999999999,0.11996699999999999,1,tee_cost_model.cpu_overhead_pct,0.1,success,0.08,0.1,0.1,0.12
