query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
q1-001.sql,0.001083,0.012468,0.013551,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-002.sql,0.0010760000000000001,0.016730000000000002,0.017806000000000002,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-003.sql,0.0011459999999999999,0.014676,0.015822,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-004.sql,0.0010760000000000001,0.01776,0.018836000000000002,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-005.sql,0.00109,0.016634,0.017724,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-006.sql,0.001071,0.015811,0.016881999999999998,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-007.sql,0.000921,0.011784000000000001,0.012705000000000001,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-008.sql,0.001075,0.014126,0.015201,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-009.sql,0.0010609999999999999,0.016839,0.0179,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q1-010.sql,0.0011819999999999999,0.026269999999999998,0.027451999999999997,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-001.sql,0.153463,0.16716399999999998,0.320627,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-002.sql,0.156808,0.14225800000000002,0.29906600000000005,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-003.sql,0.158505,0.136624,0.295129,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-004.sql,0.15761,0.12494799999999999,0.282558,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-005.sql,0.15219300000000002,0.124596,0.276789,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-006.sql,0.16133699999999998,0.124534,0.285871,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-007.sql,0.165128,0.17719300000000002,0.342321,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-008.sql,0.165428,0.18376900000000002,0.349197,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-009.sql,0.161341,0.130626,0.291967,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q10-010.sql,0.157751,0.270338,0.42808900000000005,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-001.sql,0.002535,1.582787,1.585322,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-002.sql,0.0024519999999999998,0.053810000000000004,0.056262000000000006,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-003.sql,0.001149,0.08198,0.083129,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-004.sql,0.001184,1.338547,1.339731,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-005.sql,0.002343,0.054717,0.05706,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-006.sql,0.002076,0.466709,0.468785,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-007.sql,0.001366,0.213677,0.215043,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-008.sql,0.0024140000000000003,0.128882,0.131296,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-009.sql,0.00207,0.074073,0.076143,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q11-010.sql,0.002315,0.258476,0.260791,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-001.sql,0.015121,0.09349500000000001,0.108616,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-002.sql,0.017027,0.085779,0.102806,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-003.sql,0.00813,0.09045,0.09858,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-004.sql,0.008242000000000001,0.670098,0.6783399999999999,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-005.sql,0.012119,0.041383,0.053502,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
q12-006.sql,0.008425,0.93221,0.940635,1,tee_cost_model.cpu_overhead_pct,0.04,success,0.08,0.04,0.1,0.12
