query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
q1-001.sql,0.0011519999999999998,0.015643,0.016795,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-002.sql,0.001828,0.016734000000000002,0.018562000000000002,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-003.sql,0.001259,0.01687,0.018129,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-004.sql,0.0011519999999999998,0.019718,0.02087,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-005.sql,0.001216,0.022207,0.023423,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-006.sql,0.0019950000000000002,0.016721,0.018716,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-007.sql,0.001119,0.015711,0.016829999999999998,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-008.sql,0.0018080000000000001,0.016139,0.017947,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-009.sql,0.0011040000000000002,0.01283,0.013934,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q1-010.sql,0.0016719999999999999,0.024625,0.026297,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-001.sql,0.167923,0.166035,0.333958,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-002.sql,0.163839,0.15407200000000001,0.31791100000000005,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-003.sql,0.151708,0.12404000000000001,0.275748,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-004.sql,0.158923,0.13549799999999998,0.294421,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-005.sql,0.156065,0.13278299999999998,0.288848,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-006.sql,0.16111799999999998,0.125969,0.287087,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-007.sql,0.15550899999999998,0.195756,0.351265,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-008.sql,0.155799,0.203433,0.359232,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-009.sql,0.156328,0.13157400000000002,0.287902,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q10-010.sql,0.150232,0.30700599999999995,0.4572379999999999,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-001.sql,0.0024140000000000003,1.436347,1.438761,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-002.sql,0.001802,0.040485999999999994,0.04228799999999999,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-003.sql,0.0021030000000000003,0.080941,0.08304399999999999,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-004.sql,0.001981,1.1803599999999999,1.1823409999999999,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-005.sql,0.0023639999999999998,0.044899,0.047263,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-006.sql,0.002077,0.45057400000000003,0.452651,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-007.sql,0.002232,0.210617,0.212849,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-008.sql,0.002157,0.11058499999999999,0.112742,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-009.sql,0.0013160000000000001,0.10103,0.10234599999999999,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q11-010.sql,0.0024460000000000003,0.247644,0.25009,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-001.sql,0.015564999999999999,0.774683,0.7902480000000001,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-002.sql,0.012958,0.411474,0.42443200000000003,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-003.sql,0.013845000000000001,0.632501,0.646346,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-004.sql,0.014570999999999999,2.212439,2.22701,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-005.sql,0.013144,0.09036100000000001,0.10350500000000001,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-006.sql,0.013226000000000002,3.33446,3.347686,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-007.sql,0.013562,0.328564,0.34212600000000004,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-008.sql,0.013365,0.8520270000000001,0.865392,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-009.sql,0.01543,0.249918,0.26534800000000003,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q12-010.sql,0.014292999999999998,9.86702,9.881313,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-001.sql,0.10437600000000001,0.17083099999999998,0.275207,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-002.sql,0.088703,0.17918,0.267883,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-003.sql,0.094761,0.329041,0.42380199999999996,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-004.sql,0.10018,0.77597,0.8761500000000001,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-005.sql,0.107348,0.813292,0.92064,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-006.sql,0.109492,0.23339400000000002,0.342886,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-007.sql,0.102665,0.109519,0.212184,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-008.sql,0.11478100000000001,0.093433,0.208214,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-009.sql,0.10244400000000001,0.160541,0.262985,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q13-010.sql,0.105744,0.158935,0.264679,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
q14-001.sql,0.041323,11.222088,11.263411,1,tee_cost_model.io_overhead_pct,0.12,success,0.12,0.06,0.1,0.12
