query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status,tee_io_overhead_pct,tee_cpu_overhead_pct,tee_gather_overhead_pct,tee_memoize_overhead_pct
q1-001.sql,0.001245,0.017065,0.01831,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-002.sql,0.001204,0.015106,0.016309999999999998,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-003.sql,0.001101,0.01277,0.013871,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-004.sql,0.001209,0.020577,0.021786,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-005.sql,0.0010689999999999999,0.018811,0.019880000000000002,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-006.sql,0.001139,0.017065,0.018204,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-007.sql,0.001066,0.016326,0.017392,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-008.sql,0.001091,0.017245999999999997,0.018337,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-009.sql,0.001004,0.011775,0.012779,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q1-010.sql,0.001843,0.029826000000000002,0.031669,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-001.sql,0.057114,0.158,0.215114,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-002.sql,0.057597999999999996,0.167305,0.22490300000000002,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-003.sql,0.055577,0.13161699999999998,0.18719399999999997,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-004.sql,0.056873,0.136049,0.192922,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-005.sql,0.060594999999999996,0.127813,0.18840800000000002,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-006.sql,0.057046,0.127802,0.184848,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-007.sql,0.050994,0.18506,0.23605399999999999,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-008.sql,0.06011,0.204067,0.264177,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-009.sql,0.057058,0.133576,0.190634,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q10-010.sql,0.055706000000000006,0.29222899999999996,0.347935,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-001.sql,0.001335,1.51697,1.518305,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-002.sql,0.001413,0.049657,0.05107,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-003.sql,0.001296,0.067747,0.06904300000000001,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-004.sql,0.002036,1.376303,1.378339,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-005.sql,0.002443,0.04977,0.052213,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-006.sql,0.0011200000000000001,0.546322,0.547442,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-007.sql,0.001289,0.183068,0.18435700000000002,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-008.sql,0.001395,0.125806,0.127201,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-009.sql,0.0021939999999999998,0.079682,0.081876,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q11-010.sql,0.002137,0.253691,0.255828,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-001.sql,0.012388,1.14853,1.1609180000000001,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-002.sql,0.012512,0.090766,0.103278,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-003.sql,0.010134,0.115193,0.125327,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-004.sql,0.009006,0.7321599999999999,0.7411659999999999,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-005.sql,0.011614000000000001,0.040598,0.052212,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-006.sql,0.010499000000000001,1.0715409999999999,1.08204,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-007.sql,0.011366,0.318789,0.330155,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-008.sql,0.011471,0.521944,0.533415,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-009.sql,0.005511,0.939961,0.9454720000000001,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q12-010.sql,0.008768000000000001,7.391445,7.400213,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-001.sql,0.056298,0.846865,0.9031629999999999,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-002.sql,0.045628999999999996,7.563207,7.608836,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-003.sql,0.048735,9.51363,9.562365,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-004.sql,0.05069,48.171839999999996,48.22253,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-005.sql,0.0,60.0,60.0,1,tee_cost_model.gather_overhead_pct,0.12,error,0.08,0.06,0.12,0.12
q13-006.sql,0.05374,33.529365,33.583104999999996,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-007.sql,0.052505,1.8522290000000001,1.9047340000000001,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-008.sql,0.060461,16.621592,16.682053,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-009.sql,0.048528,18.669124,18.717652,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q13-010.sql,0.048695999999999996,0.45896,0.507656,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q14-001.sql,0.0,60.0,60.0,1,tee_cost_model.gather_overhead_pct,0.12,error,0.08,0.06,0.12,0.12
q14-002.sql,0.027454999999999997,0.7101989999999999,0.7376539999999999,1,tee_cost_model.gather_overhead_pct,0.12,success,0.08,0.06,0.12,0.12
q14-003.sql,0.0,60.0,60.0,1,tee_cost_model.gather_overhead_pct,0.12,error,0.08,0.06,0.12,0.12
